material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,6.0,6.0,2.063512660816597,2.2086088476111616,2.1335972604434414,0.05694691986823164,0.14509618679456482,66.52306616263625,35.71920353458429,15.946021916133352,132.92541168419763,6.0,1.0,7,Octahedron
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,7.0,6.0,2.0635126608165946,2.2086088476111634,2.1335972604434414,0.05694691986823236,0.14509618679456882,96.2818742562174,46.365477153709904,27.644302757932373,168.98482102231242,6.0,1.0,8,Octahedron
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,2.0,Zr,0.0,True,1.0,2.0,2.0867991515429685,2.196434838401078,2.141616994972023,0.05481784342905471,0.10963568685810943,87.44944881123944,0.0,87.44944881123944,87.44944881123944,2.0,1.0,1,Octahedron
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,3.0,Zr,0.0,True,3.0,3.0,2.071474356589958,2.303184279662602,2.184182978224357,0.09469977288574652,0.23170992307264404,108.52620832967195,38.58209551039159,76.4445049158105,162.78930971539893,3.0,1.0,1,Octahedron
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,3.0,Zr,0.0,True,4.0,3.0,2.0689976954706157,2.3364795337774207,2.182032941087695,0.11305694201234867,0.26748183830680494,59.68171842561219,21.195139610577073,34.869170505041026,86.65178357963573,3.0,1.0,2,Octahedron
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,4.0,Zr,0.0,True,0.0,4.0,2.084665124047094,2.2389370435489275,2.129283114315427,0.06350116526140213,0.1542719195018334,67.54654507988943,41.77711236502965,0.0,120.95797171035878,4.0,1.0,1,Octahedron
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,4.0,Zr,0.0,True,2.0,4.0,2.082880064470963,2.1358293238801465,2.1222387298347147,0.022725570189410113,0.05294925940918338,83.03231727988371,37.79929567970946,0.0,104.215410398422,4.0,1.0,2,Octahedron
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,4.0,Zr,0.0,True,5.0,4.0,2.005530433248842,2.2867302988134464,2.1633745677855423,0.11663837596946233,0.2811998655646044,98.13776050855931,42.404107058755564,55.437813057867885,177.6318725651342,4.0,1.0,3,Octahedron
mp-1101461,Rb2ZrO3,1.8315475853224137,1.0304870590281778,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Zr,0.0,True,8.0,5.0,1.9140316052058826,2.1019097327121905,2.060469320955685,0.07334624642409021,0.18787812750630795,70.55176774517412,33.607159941229924,25.298306995907318,110.06425909579212,4.0,0.8,1,Square pyramid
mp-1101461,Rb2ZrO3,1.8315475853224137,1.0304870590281778,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Zr,0.0,True,9.0,5.0,1.9140316052058814,2.10190973271219,2.0604693209556855,0.07334624642409095,0.1878781275063086,91.42261985214881,27.155587843438074,68.60720557688606,144.01736747467652,4.0,0.8,2,Square pyramid
mp-1101461,Rb2ZrO3,1.8315475853224137,1.0304870590281778,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Zr,0.0,True,10.0,5.0,1.9140316052058832,2.10190973271219,2.0604693209556855,0.07334624642409014,0.18787812750630684,91.42261985214883,27.15558784343808,68.60720557688607,144.01736747467655,4.0,0.8,3,Square pyramid
mp-1101461,Rb2ZrO3,1.8315475853224137,1.0304870590281778,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Zr,0.0,True,11.0,5.0,1.914031605205884,2.10190973271219,2.0604693209556855,0.07334624642408993,0.18787812750630617,70.55176774517412,33.60715994122994,25.298306995907286,110.06425909579212,4.0,0.8,4,Square pyramid
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,12.0,6.0,2.0348578912059807,2.1891947701807846,2.117948768467017,0.05575060598552543,0.15433687897480386,81.99953930555881,38.404839870741604,18.92242416725701,173.60632086641453,6.0,1.0,1,Octahedron
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,13.0,6.0,2.0130307375421395,2.274195149812296,2.1264591904398062,0.10321095246460832,0.26116441227015663,48.526058259348325,28.634589206105087,12.89676875032998,115.71929540106225,6.0,1.0,2,Octahedron
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,14.0,6.0,2.0274400289981873,2.202224295429094,2.11741297375938,0.06047600912303661,0.1747842664309065,106.90196011379206,34.039233348627896,86.2803932705717,177.8838219065294,6.0,1.0,3,Octahedron
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True,15.0,6.0,2.039514458258728,2.1985980204026974,2.117026753188639,0.0478410584415885,0.15908356214396946,81.0876392874788,37.3963992837828,19.205493935145387,174.83551417646788,6.0,1.0,4,Octahedron
