material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge
mp-1227163,CaZrTi2O7,1.1419588767195716,2.0059389422404417,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,2i,1,7.0,Zr,0.0,True
mp-1227178,Ca4ZrTi3(SiO5)4,1.9584024572875929,0.3404270616661132,[6.0],4.0,4.0,4.0,Octahedron,1e,1,6.0,Zr,0.0,True
mp-1227190,Ca4ZrTi3(GeO5)4,1.9670070029834268,0.3237573795588334,[6.0],4.0,4.0,4.0,Octahedron,1d,1,6.0,Zr,0.0,True
mp-1227280,CaZrNbFeO7,1.8902541650988456,0.5964226784612251,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,2a,1,7.0,Zr,0.0,True
mp-1227484,BaZrTiPbO6,2.400807216072843,-0.3175920913346878,[6.0],4.0,4.0,4.0,Octahedron,1b,1,6.0,Zr,0.0,True
mp-1227538,CaZrNbFeO7,1.473300857271298,1.4365020424305843,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,2i,1,7.0,Zr,0.0,True
mp-1227600,CaZrSi3H4O11,2.045041238827757,0.1468671239561466,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Zr,0.0,True
mp-1227668,Ca5Zr4Ti(GeO5)5,1.9660647897788928,0.356259073608537,[6.0],4.0,4.0,4.0,Octahedron,"1f, 2i, 1c",1,6.0,Zr,0.0,True
mp-1227737,Ca2ZrTi(GeO5)2,1.9843861557847349,0.2970512313880295,[6.0],4.0,4.0,4.0,Octahedron,1h,1,6.0,Zr,0.0,True
mp-1227775,BaSr3Zr4O12,2.081602608602011,0.11928639856304,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1227799,Ca2ZrTi(SiO5)2,1.963298290849236,0.3455887880884387,[6.0],4.0,4.0,4.0,Octahedron,1e,1,6.0,Zr,0.0,True
mp-1227880,BaZr5Pb4O15,1.848064979919933,0.7723930362511965,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1227884,CaZr2PbO6,2.16547518899621,-0.0804607043911542,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1227925,Ca3Zr2AlFeSiO12,1.917668281874156,0.5018317370128913,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True
mp-1227980,BaZr2Ti3Pb4O15,1.2986745206214505,2.2278755306788507,[6.0],4.0,4.0,4.0,Octahedron,1b,1,6.0,Zr,0.0,True
mp-1228044,Ba4ZrNb9O18,2.464797430150436,-0.8095842110244721,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1228281,Ba3ZrTa4O15,1.6643302880947566,1.0506228783041418,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Zr,0.0,True
mp-1228321,Ba3ZrNb5O12,2.400512679859125,-0.6558565534847773,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1228352,Ba3ZrNb4O15,1.9750339944156767,0.3452818768168649,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Zr,0.0,True
mp-1228424,Ba4CaZr5O15,2.306252335661413,-0.4350926782664901,[6.0],4.0,4.0,4.0,Octahedron,"2d, 4h",1,6.0,Zr,0.0,True
mp-1228442,Ba5Ce4ZrO15,2.1555321000204426,-0.0096167527703209,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1228692,BaCaZr8(PO4)12,1.88957936197488,0.5301992939250714,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1228741,Ba5Ce4ZrO15,2.1524647987339525,-0.0007598696630156,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1228755,Ba8ZrNb19O36,1.8114876925054808,0.7412436335015904,[6.0],4.0,4.0,4.0,Octahedron,1c,1,6.0,Zr,0.0,True
mp-1228778,Ca2Zr5Ti2O16,2.056581099022288,0.2291719518282016,"[6.0, 7.0]",4.0,4.0,4.0,"Cube, Square-face capped trigonal prism",4c,2,6.0,Zr,0.0,True
mp-1228778,Ca2Zr5Ti2O16,2.056581099022288,0.2291719518282016,"[6.0, 7.0]",4.0,4.0,4.0,"Cube, Square-face capped trigonal prism",4c,2,7.0,Zr,0.0,True
mp-1229190,BaCa3Zr16(PO4)24,1.8787305446086933,0.5581704846329067,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1233049,MgZr2H10(S3O14)2,1.960298051738588,0.3965668513336625,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,1a,1,7.0,Zr,0.0,True
mp-1234462,MgZr2H10(S3O14)2,2.1475856998009344,0.0509473085569997,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,1a,1,7.0,Zr,0.0,True
mp-1234830,MgZr2H10(S3O14)2,2.024413558943918,0.2483412134174967,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,1a,1,7.0,Zr,0.0,True
mp-12540,Zr2Mo(PO6)2,1.982685169698388,0.2903675690390134,[6.0],4.0,4.0,4.0,Octahedron,8d,1,6.0,Zr,0.0,True
mp-1266342,Na11Zr8Si7P5O48,1.83330710164506,0.6918558414411357,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-15004,Ca3ZrSi2O9,1.8961619491171149,0.6055932242279838,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-15093,Zr2P2WO12,1.987494693524116,0.2781421899794161,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Zr,0.0,True
mp-1516749,SrEuZr2O6,2.1313566432253195,-0.0303734905906321,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Zr,0.0,True
mp-1520791,BaNaZrBiO6,1.902232301050785,0.5081597191475604,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-1521105,BaSrCeZrO6,2.0950851658395897,0.1046358007047075,[6.0],4.0,4.0,4.0,Octahedron,"1d, 1g",1,6.0,Zr,0.0,True
mp-1523158,BaCaZr2O6,2.025534393815696,0.2811597054822582,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Zr,0.0,True
mp-15543,NaLiZr(Si2O5)3,1.576478904755236,1.3234235781214057,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-16871,K2ZrGe2O7,1.943699360794751,0.4433911471943063,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-17208,K2Li14Zr3O14,1.3277943855916452,2.0230695720070155,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Zr,0.0,True
mp-17468,SrZrSi2O7,1.930870813801268,0.4765626238352518,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-18449,K2ZrO3,1.822331648442144,1.0838748140135723,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Zr,0.0,True
mp-18492,Na2Zr(MoO4)3,1.8319427220715987,0.6496189314936129,[8.0],4.0,4.0,4.0,Dodecahedron with triangular faces - p2345 plane normalized,2e,1,8.0,Zr,0.0,True
mp-18984,Na2ZrNi(P2O7)2,1.867214536502243,0.6244428601543683,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-19187,Na2ZrCo(P2O7)2,1.914994263642556,0.5130150842683249,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-20337,ZrPbO3,2.8642873426304702,-1.597715786702106,[6.0],4.0,4.0,4.0,Octahedron,1b,1,6.0,Zr,0.0,True
mp-2712558,Na2ZrSiSn(PO6)2,1.9012031944401184,0.4879769163013977,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
