material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,42.0,6.0,1.9558421504720216,2.0704747613894723,2.016657412731717,0.04045348615208366,0.1146326109174507,97.95553785844731,35.38256221151113,44.50584100171432,173.14984283661693,6.0,1.0,3,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,43.0,6.0,1.9078364031164874,2.0901396194738866,1.9914557582428498,0.058795810857818216,0.1823032163573992,66.45537197042911,28.547653994329533,14.188501459468895,102.87805370724996,6.0,1.0,4,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,44.0,6.0,1.9333021814086708,2.085984970569362,1.9925840137736914,0.047322751279049925,0.15268278916069122,67.37788810028319,28.29975051106664,18.000563229342564,107.79536349246733,6.0,1.0,5,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,45.0,6.0,1.9266396282998872,2.1078110129611174,1.9936139734743847,0.05989714253269226,0.18117138466123017,66.18238393782555,28.494775897062045,14.512288839164766,102.90111330350842,6.0,1.0,6,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,46.0,6.0,1.9290224245060807,2.0847437520958145,2.012511133993025,0.05547350903363613,0.15572132758973378,99.13197558629855,35.81658731391976,45.036860238309906,175.0340051150976,6.0,1.0,7,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,47.0,6.0,1.9292293768269886,2.107915402232102,2.0260375262008363,0.06174351082714282,0.17868602540511347,64.2593936371557,27.850925754083022,16.47895092979859,96.51627313937549,6.0,1.0,8,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,48.0,6.0,1.9440023703460843,2.0738797084806353,2.018653178359233,0.04515781409770575,0.12987733813455105,64.48716938522868,27.857326267259698,17.095267366348086,98.6901834303094,6.0,1.0,9,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,49.0,6.0,1.9346754577652883,2.124690341837943,2.027128577178893,0.06260914258357772,0.19001488407265477,64.56417764599489,27.179934916144656,18.7902428274965,97.49688130617417,6.0,1.0,10,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,50.0,6.0,1.9342360577949687,2.0743321967315764,2.0182146941018546,0.044488284239348266,0.14009613893660777,106.55507193340281,33.58054656691182,84.55891503786178,179.0057484018052,6.0,1.0,11,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,51.0,6.0,1.9558421504720207,2.07047476138947,2.0166574127317176,0.040453486152082566,0.11463261091744936,106.38214378055548,33.2101944012485,80.52938485869991,173.14984283661687,6.0,1.0,12,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,52.0,6.0,1.9776005089549364,2.0542283767346494,2.017562155708191,0.030189760580366962,0.07662786777971298,106.59447242567002,33.50645365642643,81.54003584210186,175.2889376451141,6.0,1.0,13,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,53.0,6.0,1.9333021814086693,2.085984970569367,1.992584013773692,0.04732275127905146,0.15268278916069766,55.57450624991786,29.968607410897665,14.693356971272252,97.02113385440035,6.0,1.0,14,Octahedron
