material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,29,6,2.0186171012885783,2.1006106341640822,2.0604727742944324,0.03107670549584771,0.08199353287550393,98.41107861766834,37.778741348138276,45.57499080748893,176.23656943102202,6,1.0,18,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,30,6,2.020639556938355,2.105212740941867,2.0586138545169006,0.034865699574552385,0.08457318400351177,82.41104839185917,35.58222866396052,18.42531287311614,174.6242795557981,6,1.0,19,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,31,6,2.025614861246925,2.1020991889927934,2.061097266113754,0.030498574249551314,0.07648432774586844,82.53781747397028,35.53913986742091,18.28442050216904,174.02465646997464,6,1.0,20,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,32,6,2.0202015414090573,2.1043403800502656,2.0579547879583764,0.03393987556781691,0.0841388386412083,82.41312409269398,35.579951026623945,18.415735892364754,174.65569479314254,6,1.0,21,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,33,6,2.0285286658856894,2.101880756842581,2.060765668899196,0.02808583338310316,0.07335209095689166,98.36219315750124,37.373874181223414,46.64778071991281,176.0380617356535,6,1.0,22,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,34,6,2.027377651690624,2.0976050485819098,2.057095408001682,0.029257208943868216,0.07022739689128565,98.23796150440293,37.16589326170064,45.88790559226814,174.51366597683395,6,1.0,23,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,35,6,2.028772931382211,2.095772105810599,2.055951695665949,0.027824669061747426,0.06699917442838821,98.23688754467359,37.21539543882131,45.87494400779213,174.63719791042854,6,1.0,24,Octahedron
mp-1228344,Ba6Ho2Al2Rh2O15,1.353606683155263,1.3710592633666514,[5.0],3.0,3.0,3.0,Square pyramid,2c,1,5.0,Rh,0.0,True,10,5,2.0251251259324516,2.089607020769374,2.053161448257532,0.030038282924553524,0.06448189483692257,107.86326038626973,34.44727864384706,85.22085039448228,176.62321655836402,5,1.0,1,Square pyramid
mp-1228344,Ba6Ho2Al2Rh2O15,1.353606683155263,1.3710592633666514,[5.0],3.0,3.0,3.0,Square pyramid,2c,1,5.0,Rh,0.0,True,11,5,2.02512512593245,2.0896070207693764,2.0531614482575318,0.030038282924555595,0.06448189483692657,107.86326038626976,34.44727864384706,85.22085039448226,176.62321655836402,5,1.0,2,Square pyramid
mp-1228749,AsRhO4,1.9531559499449955,0.1062888744552566,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Rh,0.0,True,1,6,2.0183233483513505,2.046209309715343,2.027618668806015,0.01314556825358962,0.02788596136399235,81.76934303354356,39.63477812654782,0.0,180.0,6,1.0,1,Octahedron
