material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Tl_wyckoff,num_Tl_chemenvs,CN,element,charge_range,is_single_charge
mp-1211724,Mn2Tl2(MoO4)3,2.649094190008795,0.2982390954820081,"[6.0, 9.0]",1.0,1.0,1.0,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",4a,2,9.0,Tl,0.0,True
mp-1212243,HoTl(MoO4)2,2.60084526970035,0.1767854171241832,[6.0],1.0,1.0,1.0,Metabidiminished icosahedron,4c,1,6.0,Tl,0.0,True
mp-1212617,GdTl(MoO4)2,2.5793393621198226,0.1587689614906105,[6.0],1.0,1.0,1.0,Metabidiminished icosahedron,4c,1,6.0,Tl,0.0,True
mp-1213009,DyTl(MoO4)2,2.644159161996911,0.1432218676130811,[6.0],1.0,1.0,1.0,Metabidiminished icosahedron,4c,1,6.0,Tl,0.0,True
mp-1213125,ErTl(MoO4)2,2.605477597840984,0.1585854670181817,[6.0],1.0,1.0,1.0,Metabidiminished icosahedron,4c,1,6.0,Tl,0.0,True
mp-1213568,CsTl3O5,1.9904305864495069,0.4490021314692279,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Tl,0.0,True
mp-1213849,CeTl(MoO4)2,2.807604396398134,0.077790110381201,[6.0],1.0,1.0,1.0,Square antiprism,4c,1,6.0,Tl,0.0,True
mp-1214673,Ba2La2TlCu2O9,1.9635073351271035,0.7125180412636573,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Tl,0.0,True
mp-1214834,AlTl(SO4)2,2.610643043557404,0.225504376303499,[12.0],1.0,1.0,1.0,Cuboctahedron,1b,1,12.0,Tl,0.0,True
mp-1216623,TlSbWO6,2.484852326342773,0.4033978336754685,[3.0],1.0,1.0,1.0,Tricapped octahedron (all 3 cap faces are sharingone edge of a face),2b,1,3.0,Tl,0.0,True
mp-1216736,TlP(HO2)2,2.398567192513197,0.3380840133795431,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2a,2,7.0,Tl,0.0,True
mp-1216736,TlP(HO2)2,2.398567192513197,0.3380840133795431,"[7.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2a,2,8.0,Tl,0.0,True
mp-1216797,TiTl2(TeO4)3,2.844436618726408,0.131728617552598,[6.0],1.0,1.0,1.0,Metabidiminished icosahedron,2c,1,6.0,Tl,0.0,True
mp-1216804,TlV3Cd4O12,1.99492094223012,0.4632415519182954,[10.0],1.0,1.0,1.0,Square-face capped square prism,2a,1,10.0,Tl,0.0,True
mp-1216909,TiNbTlO5,3.369226339889919,-0.0909519924491764,[8.0],1.0,1.0,1.0,Cube,4c,1,8.0,Tl,0.0,True
mp-1216944,TiNb6Tl2O18,3.214247234011407,-0.0691947972176314,[6.0],1.0,1.0,1.0,Tridiminished icosahedron,2c,1,6.0,Tl,0.0,True
mp-1216957,TlGeSbO5,2.663362054614143,0.1283779407564291,[5.0],1.0,1.0,1.0,Square-face bicapped trigonal prism,4a,1,5.0,Tl,0.0,True
mp-1217830,TaTlWO6,2.8895046909771707,0.0796480700654628,[3.0],1.0,1.0,1.0,Tricapped octahedron (all 3 cap faces are sharingone edge of a face),2b,1,3.0,Tl,0.0,True
mp-1217858,TaTiTlO5,3.314140756558698,-0.0614147597013133,[8.0],1.0,1.0,1.0,Cube,4c,1,8.0,Tl,0.0,True
mp-1218099,Ta6TiTl2O18,3.185502077242732,-0.039685244759978,[6.0],1.0,1.0,1.0,Metabidiminished icosahedron,2c,1,6.0,Tl,0.0,True
mp-1218170,SrLaTlCuO5,1.338622156673106,1.5876670405182682,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Tl,0.0,True
mp-1218439,Sr4TlCu2BiO10,0.9740377711797382,2.1154055365040643,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Tl,0.0,True
mp-1218486,Sr2YTlCu2O7,4.761115795195523,-8.668751889538864,[4.0],3.0,3.0,3.0,See-saw,1a,1,4.0,Tl,0.0,True
mp-1218526,Sr2Tl2O5,1.7446545667185915,0.8323895825041463,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Tl,0.0,True
mp-1218536,Sr4CaLaTl2(Cu2O7)2,1.9442667519890875,0.742589818004706,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Tl,0.0,True
mp-1218552,Sr4Tl2CO9,1.6372062337500397,1.1056219703209984,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Tl,0.0,True
mp-1218716,Sr2Pr2TlNi2O9,3.652843730136344,-0.3895773121641311,[6.0],1.0,1.0,1.0,Square pyramid,1a,1,6.0,Tl,0.0,True
mp-1218719,Sr2Sm2TlNi2O9,3.532255949371158,-0.3566058649157705,[6.0],1.0,1.0,1.0,Square pyramid,1a,1,6.0,Tl,0.0,True
mp-1218757,Sr2La2TlNi2O9,3.7192391324350416,-0.4062163371887373,[6.0],1.0,1.0,1.0,Square pyramid,2c,1,6.0,Tl,0.0,True
mp-1218767,Sr2Nd2TlNi2O9,3.654716516909712,-0.3878270012564322,[6.0],1.0,1.0,1.0,Square pyramid,1a,1,6.0,Tl,0.0,True
mp-1218785,Sr8Ca3NdTl2Cu8(PbO14)2,1.8817532658559828,0.847657645202441,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Tl,0.0,True
mp-1218819,Sr2Gd2TlNi2O9,3.5845253783538285,-0.3715808375043171,[6.0],1.0,1.0,1.0,Square pyramid,1a,1,6.0,Tl,0.0,True
mp-1219153,RbTlP2(HO2)4,1.96857800803352,0.5696469767100538,[7.0],1.0,1.0,1.0,Square-face bicapped trigonal prism,2a,1,7.0,Tl,0.0,True
mp-1219659,Rb3Ti4Tl(PO5)4,3.08146401758745,-0.0211437983187505,[9.0],1.0,1.0,1.0,Tricapped triangular prism (one square-face cap and two triangular-face caps),2a,1,9.0,Tl,0.0,True
mp-1219683,Rb3Ti4Tl(PO5)4,3.045525401761393,-0.0077296024176086,[9.0],1.0,1.0,1.0,Tricapped triangular prism (one square-face cap and two triangular-face caps),2a,1,9.0,Tl,0.0,True
mp-1220301,NbTlWO6,3.124506207682534,0.0937708393057288,[6.0],1.0,1.0,1.0,no_data,no_data,1,6.0,Tl,0.0,True
