material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ni_wyckoff,num_Ni_chemenvs,CN,element,charge_range,is_single_charge
mp-1277563,Li4TiNi3O8,1.81032134917304,0.2495009160263296,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 4e",1,6.0,Ni,1.0,False
mp-1279232,Fe(NiO2)2,1.9912576931756327,0.0580857218262479,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 2a",1,6.0,Ni,1.0,False
mp-1279232,Fe(NiO2)2,1.9912576931756327,0.0580857218262479,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 2a",1,6.0,Ni,1.0,False
mp-1280510,Li2Ni3TeO8,1.800245791190435,0.2746895983238419,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"4f, 2d",1,6.0,Ni,1.0,False
mp-1280510,Li2Ni3TeO8,1.800245791190435,0.2746895983238419,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"4f, 2d",1,6.0,Ni,1.0,False
mp-1280525,Li2Ni3SnO8,1.7627597533299195,0.3394641932701248,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2d, 2b, 2a",1,6.0,Ni,1.0,False
mp-1280525,Li2Ni3SnO8,1.7627597533299195,0.3394641932701248,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2d, 2b, 2a",1,6.0,Ni,1.0,False
mp-1280544,Mn2V3NiO8,2.280224684104625,-0.1889488982204465,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1280637,Li4MgNi3O8,1.744207045942868,0.3698885924134265,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4f, 2c",1,6.0,Ni,1.0,False
mp-1280637,Li4MgNi3O8,1.744207045942868,0.3698885924134265,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4f, 2c",1,6.0,Ni,1.0,False
mp-1282789,Li4MgNi3O8,1.735573587750928,0.3889262463186404,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1g, 2i, 1h, 1d, 1a",1,6.0,Ni,1.0,False
mp-1282789,Li4MgNi3O8,1.735573587750928,0.3889262463186404,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1g, 2i, 1h, 1d, 1a",1,6.0,Ni,1.0,False
