material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge
mp-1228216,Ba3PrIrRuO9,1.4511446546201234,3.032327633432586,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228219,Ba3TbIrRuO9,1.5526992571070957,2.4856675218594253,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228233,Ba3ZnIrRuO9,1.815779433129446,0.9869309919679846,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-1228241,Ba3NdIrRuO9,1.4650569276057015,2.938422101463708,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228246,Ba3LaIrRuO9,1.6732254839565937,1.8510359562778265,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228263,Ba3MgIrRuO9,1.7853193029187673,1.1580918733270464,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-1228273,Ba3NaIrRuO9,1.7780607933814063,1.142437312190378,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228276,Ba3NiSbRuO9,1.7677336779156338,1.2992158087931225,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-1228297,Ba3DyIrRuO9,1.5194051566145674,2.6681510795379824,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228300,Ba3LuIrRuO9,1.617436393599244,2.1218366691354578,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228306,Ba6Ca2Ir3RuO18,1.7493517686948388,1.3320479375441496,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1228318,Ba3LiIrRuO9,1.8034756487921104,0.9994884419866948,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228361,Ba3BiIrRuO9,1.857414072018995,0.8228457171149737,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1228364,BaMn2Ru4O11,1.9042902263982324,0.3096534940797481,[6.0],4.0,4.0,4.0,Octahedron,"4f, 2c, 2b",1,6.0,Ru,0.0,True
mp-1228389,Ba3NiIrRuO9,1.8292904178397047,0.8996899472015893,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-1228390,Ba3ErIrRuO9,1.599353551731329,2.2247063836077823,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228398,Ba3HoIrRuO9,1.5867022509568485,2.28464088960474,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228400,Ba3FeRu2O9,2.0005583853936506,-0.0011818848128632,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 2a",1,6.0,Ru,1.0,False
mp-1228400,Ba3FeRu2O9,2.0005583853936506,-0.0011818848128632,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 2a",1,6.0,Ru,1.0,False
mp-1228432,Ba8Ta2Ru3(BrO9)2,2.098115078140753,-0.140819212420674,[6.0],4.0,4.0,4.0,Octahedron,"2c, 1b",1,6.0,Ru,0.0,True
mp-1228458,Ba6Y2Ru3PtO18,1.7049986616913562,1.1962909603844818,[6.0],4.67,4.67,4.67,Octahedron,"1a, 1b",1,6.0,Ru,0.0,True
mp-1228653,Ba2CoRuO6,1.8404329500759764,0.7485459633717404,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ru,0.0,True
mp-1228662,Ba7Li3(RuO5)4,1.930922502943516,0.9890666677498852,[6.0],5.75,5.75,5.75,Octahedron,2c,1,6.0,Ru,0.0,True
mp-1228718,Ba3InIrRuO9,1.7483200230699054,1.3991832539836253,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228796,Ba3GdIrRuO9,1.5370166885525038,2.572830737872106,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228797,Ba12MnRu5(ClO6)4,1.8152685390782333,1.045153652467398,[6.0],5.0,5.0,5.0,Octahedron,"2c, 1a",1,6.0,Ru,0.0,True
mp-1228911,Ba10Ru3W(Cl2O9)2,1.911446999604016,0.4099605096578448,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Ru,1.0,False
