material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1188108,Sr2DyRuO6,1.9851002423825377,0.0233961471844472,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True,6.0,6.0,1.9867869041166846,1.99306650085674,1.9893787464380595,0.0026781960717609543,0.006279596740055515,108.0,36.00472994574894,89.29566811735376,180.0,6.0,1.0,1,Octahedron
mp-1188108,Sr2DyRuO6,1.9851002423825377,0.0233961471844472,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True,7.0,6.0,1.9867869041166848,1.9930665008567416,1.98937874643806,0.0026781960717613008,0.0062795967400568475,47.092700559624724,20.83129245635875,17.542300213037937,79.2780356512486,6.0,1.0,2,Octahedron
mp-11892,NaNd2RuO6,1.9748795376794048,0.0596383343625265,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True,6.0,6.0,1.9766477257632935,1.9991536312626392,1.985825951447202,0.009645116995267957,0.022505905499345724,66.21849481999098,40.897503993286826,6.187395203592643,117.04891717956896,6.0,1.0,1,Octahedron
mp-11892,NaNd2RuO6,1.9748795376794048,0.0596383343625265,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True,7.0,6.0,1.976647725763294,1.9991536312626397,1.9858259514472023,0.009645116995267938,0.022505905499345724,59.325542606816306,27.308933216289926,15.900482353175809,99.86445176022023,6.0,1.0,2,Octahedron
mp-1191047,Tb3RuO7,1.9413350217970848,0.0208215991131931,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True,6.0,6.0,1.9439528611824497,1.9476995802061425,1.945201767523681,0.0017662202859022751,0.003746719023692835,107.99999994308176,36.231296392161084,84.68901646938416,180.0,6.0,1.0,1,Octahedron
mp-1191047,Tb3RuO7,1.9413350217970848,0.0208215991131931,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True,7.0,6.0,1.9439528611824497,1.9476995802061425,1.945201767523681,0.0017662202859022229,0.003746719023692835,60.25574484906255,34.26451753101169,13.385810835490455,96.65911717469562,6.0,1.0,2,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,4.0,6.0,1.9754493789345224,2.043616905089009,2.024245662978304,0.02299543739809943,0.06816752615448674,46.25095563109108,29.298015094032774,0.0,92.6699002186588,6.0,1.0,1,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,5.0,6.0,1.9754493789345244,2.0436169050890083,2.0242456629783043,0.02299543739809868,0.06816752615448385,83.85357514894436,37.781647992022314,0.0,162.38952036516295,6.0,1.0,2,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,6.0,6.0,1.975449378934524,2.0436169050890087,2.0242456629783034,0.022995437398098773,0.06816752615448474,46.25095563109108,29.298015094032774,0.0,92.6699002186588,6.0,1.0,3,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,7.0,6.0,1.9754493789345235,2.0436169050890083,2.0242456629783034,0.02299543739809888,0.06816752615448474,83.85357514894436,37.78164799202231,0.0,162.38952036516292,6.0,1.0,4,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,8.0,6.0,1.9836157019061074,2.044607660615015,2.021531858998943,0.02706358676621976,0.060991958708907834,76.53024209964543,35.592325283682875,0.0,110.218880053006,6.0,1.0,5,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,9.0,6.0,1.9836157019061076,2.044607660615015,2.021531858998944,0.027063586766219887,0.06099195870890761,72.36129846782602,44.54887257425031,0.0,172.38723299343346,6.0,1.0,6,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,10.0,6.0,1.9836157019061071,2.0446076606150148,2.021531858998943,0.027063586766219536,0.06099195870890761,76.53024218014,35.592325110604335,0.0,110.21888005300598,6.0,1.0,7,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,11.0,6.0,1.9836157019061067,2.0446076606150156,2.021531858998944,0.027063586766220563,0.060991958708908944,72.36129846782602,44.548872574250304,0.0,172.38723299343346,6.0,1.0,8,Octahedron
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False,4.0,6.0,1.9754493789345224,2.043616905089009,2.024245662978304,0.02299543739809943,0.06816752615448674,46.25095563109108,29.298015094032774,0.0,92.6699002186588,6.0,1.0,1,Octahedron
