material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,In_wyckoff,num_In_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1192583,BaNdInO4,1.7229774427503834,0.7240543483217677,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,In,0.0,True,8.0,6.0,2.1172418650567595,2.361166116907453,2.2036922249291626,0.0854547207989887,0.24392425185069344,89.16557700541138,32.25291884144303,37.51436153595563,172.47879277748675,6.0,1.0,1,Octahedron
mp-1192583,BaNdInO4,1.7229774427503834,0.7240543483217677,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,In,0.0,True,9.0,6.0,2.11724186505676,2.361166116907453,2.2036922249291626,0.08545472079898855,0.243924251850693,76.57937930935825,28.590321588491086,11.905067960351488,140.34559272150142,6.0,1.0,2,Octahedron
mp-1192583,BaNdInO4,1.7229774427503834,0.7240543483217677,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,In,0.0,True,10.0,6.0,2.117241865056759,2.3611661169074525,2.2036922249291617,0.08545472079898879,0.24392425185069344,89.16557700541138,32.252918841443034,37.51436153595565,172.47879277748683,6.0,1.0,3,Octahedron
mp-1192583,BaNdInO4,1.7229774427503834,0.7240543483217677,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,In,0.0,True,11.0,6.0,2.1172418650567586,2.361166116907453,2.2036922249291626,0.085454720798989,0.24392425185069433,76.57937930935826,28.59032158849106,11.90506796035158,140.3455927215014,6.0,1.0,4,Octahedron
mp-1192770,Rb3In(IO3)6,2.624027212829632,-0.6212692878121714,[6.0],3.0,3.0,3.0,Octahedron,1e,1,6.0,In,0.0,True,3.0,6.0,2.157146358155084,2.225762728808392,2.193056189499568,0.02810394266892417,0.06861637065330806,60.755793598951655,37.17749847175534,7.884269766076047,105.88362107308949,6.0,1.0,1,Octahedron
mp-1192992,InH4CSeO7,2.148662683797219,0.1333311594238096,[7.0],3.0,3.0,3.0,Pentagonal bipyramid,2i,1,7.0,In,0.0,True,0.0,7.0,2.1414562225475664,2.353551836355498,2.256030207069084,0.06729372009569758,0.21209561380793174,62.26705175837882,28.97261865459118,24.597147996615593,139.87564756637934,7.0,1.0,1,Pentagonal bipyramid
mp-1192992,InH4CSeO7,2.148662683797219,0.1333311594238096,[7.0],3.0,3.0,3.0,Pentagonal bipyramid,2i,1,7.0,In,0.0,True,1.0,7.0,2.1414562225475655,2.353551836355498,2.256030207069084,0.06729372009569787,0.21209561380793263,62.26705175837883,28.972618654591177,24.59714799661562,139.87564756637934,7.0,1.0,2,Pentagonal bipyramid
mp-1193408,KInBP2HO9,2.121138252289996,0.0408244527696402,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,In,0.0,True,2.0,6.0,2.123853183705686,2.1908128550140185,2.1500392567084203,0.02208532661526564,0.06695967130833225,89.35981506323726,36.86815111284787,1.2221416106895986,167.24359944707456,6.0,1.0,1,Octahedron
mp-1193408,KInBP2HO9,2.121138252289996,0.0408244527696402,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,In,0.0,True,3.0,6.0,2.1238531837056875,2.1908128550140185,2.15003925670842,0.022085326615265095,0.06695967130833091,89.35981506323722,36.86815111284797,1.222141610689002,167.24359944707456,6.0,1.0,2,Octahedron
mp-1193780,MnInO3,1.7572939462942023,0.6499468374523099,"[6.0, 7.0]",3.0,3.0,3.0,"Octahedron, Face-capped octahedron","4d, 2b",2,6.0,In,0.0,True,,,,,,,,,,,,,,0,"Octahedron, Face-capped octahedron"
mp-1193780,MnInO3,1.7572939462942023,0.6499468374523099,"[6.0, 7.0]",3.0,3.0,3.0,"Octahedron, Face-capped octahedron","4d, 2b",2,7.0,In,0.0,True,8.0,7.0,2.243769201294043,2.429720085229042,2.275471683195886,0.06315880957155975,0.18595088393499903,53.46103622664112,29.299226789610504,10.210615109101882,91.38089013108832,7.0,1.0,1,"Octahedron, Face-capped octahedron"
mp-1193780,MnInO3,1.7572939462942023,0.6499468374523099,"[6.0, 7.0]",3.0,3.0,3.0,"Octahedron, Face-capped octahedron","4d, 2b",2,7.0,In,0.0,True,9.0,7.0,2.2437552384698085,2.429708286389541,2.275481937104684,0.06314910221834746,0.18595304791973266,90.31306112075092,36.207748035364595,21.407303250646194,167.50852697580734,7.0,1.0,2,"Octahedron, Face-capped octahedron"
mp-1193780,MnInO3,1.7572939462942023,0.6499468374523099,"[6.0, 7.0]",3.0,3.0,3.0,"Octahedron, Face-capped octahedron","4d, 2b",2,7.0,In,0.0,True,10.0,7.0,2.2437337082850966,2.4297783468361973,2.2754715362142233,0.06318463167865782,0.18604463855110076,53.460412661042376,29.298854516974817,10.209870150380263,91.37997765265212,7.0,1.0,3,"Octahedron, Face-capped octahedron"
mp-1193780,MnInO3,1.7572939462942023,0.6499468374523099,"[6.0, 7.0]",3.0,3.0,3.0,"Octahedron, Face-capped octahedron","4d, 2b",2,7.0,In,0.0,True,11.0,7.0,2.243855610035916,2.4296385036315518,2.275501700767193,0.06311003653247974,0.18578289359563582,90.31194576730473,36.20743633306639,21.406379532806156,167.5043390383294,7.0,1.0,4,"Octahedron, Face-capped octahedron"
