material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ir_wyckoff,num_Ir_chemenvs,CN,element,charge_range,is_single_charge
mp-20964,La2NiIrO6,2.000677005893722,0.1095306367570518,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ir,0.0,True
mp-21742,Ba5AlIr2O11,1.879867426572453,0.530492823976091,[6.0],4.5,4.5,4.5,Octahedron,4c,1,6.0,Ir,0.0,True
mp-22726,Sr2LuIrO6,1.994012050500936,-0.0252212370382708,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-28867,Ba7Ir6O19,1.9190525864617056,0.3025039647226618,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ir,0.0,True
mp-30546,K(IrO2)4,1.7815264079214252,0.5455972394169506,[6.0],3.75,3.75,3.75,Octahedron,2i,1,6.0,Ir,0.0,True
mp-39440,Ca2MnIrO6,1.9538375382635835,0.1162718450068521,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-4243,CaIrO3,1.7791631529544112,0.609941760570681,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-4307,BaIrO3,2.067366160972276,-0.0325823939995038,[6.0],4.0,4.0,4.0,Octahedron,"4f, 2a",1,6.0,Ir,0.0,True
mp-4998,Sr2IrO4,1.5177896622080218,1.213645736257975,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Ir,0.0,True
mp-504867,Sr3CuIrO6,1.9746188781085308,0.1548446406452271,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-505151,Ca3CuIrO6,2.0014332341805874,0.0557337862081505,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ir,0.0,True
mp-5322,Pr3IrO7,1.949137638264,0.2198749598160489,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-540806,Ca2IrO4,1.9720371616124883,0.200387980448523,[6.0],4.0,4.0,4.0,Octahedron,3f,1,6.0,Ir,0.0,True
mp-540907,Ba3NiIr2O9,1.8892283825737743,0.6219662118301623,[6.0],5.0,5.0,5.0,Octahedron,8f,1,6.0,Ir,0.0,True
mp-542897,BaIrO3,2.089675455271577,-0.1297186089743308,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i, 1d",1,6.0,Ir,0.0,True
mp-542939,Ba3ZnIr2O9,1.8656779655575253,0.7617529891410945,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ir,0.0,True
mp-554266,Ba3SrIr2O9,1.874150645805412,0.7056914429364944,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ir,0.0,True
mp-554909,Ba3MgIr2O9,1.8607462201736007,0.774740832063679,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ir,0.0,True
mp-555735,CaIrO3,1.9102560938780184,0.2810780159213019,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ir,0.0,True
mp-556674,Ba3LuIr2O9,1.7060930142370652,1.0455803839112967,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ir,0.0,True
mp-560657,RbLa9(IrO6)4,2.0171485106202054,-0.1181373818645449,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ir,0.0,True
mp-561089,Ba3LaIr2O9,1.5534928094452718,1.6230696786666357,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ir,0.0,True
mp-561288,K3LiIrO4,1.94061142270324,0.2454637172547925,[4.0],4.0,4.0,4.0,Square plane,2c,1,4.0,Ir,0.0,True
mp-6152,La2ZnIrO6,2.018352293726765,0.0746330798944917,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ir,0.0,True
mp-616507,Cs2Na2IrO4,1.94147314581571,-0.232960136344399,[4.0],4.0,4.0,4.0,Square plane,"1a, 1d",1,4.0,Ir,0.0,True
mp-6362,Sr2TbIrO6,1.992935500920068,-0.0013808199938526,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ir,0.0,True
mp-6603,Sr2CeIrO6,1.9048442977479776,0.2656427217932798,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ir,0.0,True
mp-6732,La2MgIrO6,2.0289798825916705,0.0308200090093512,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Ir,0.0,True
mp-674187,Ba(IrO3)2,1.8371503150844168,0.7106675157261785,[6.0],5.0,5.0,5.0,Octahedron,3b,1,6.0,Ir,0.0,True
