material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Te_wyckoff,num_Te_chemenvs,CN,element,charge_range,is_single_charge
mp-645743,VAgTeO5,1.8414832275142563,1.4051066785277824,[6.0],4.0,4.0,4.0,See-saw,4e,1,6.0,Te,0.0,True
mp-646605,SrNi2Te3(ClO4)2,2.0377670354276605,0.4843787596659962,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4e,2,3.0,Te,0.0,True
mp-646605,SrNi2Te3(ClO4)2,2.0377670354276605,0.4843787596659962,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4e,2,4.0,Te,0.0,True
mp-647158,SrTeO3,2.1851778575699083,1.0703032585178889,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,1a,1,3.0,Te,0.0,True
mp-647158,SrTeO3,2.1851778575699083,1.0703032585178889,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,1a,1,4.0,Te,0.0,True
mp-649107,ReTe7O7F32,1.9461684789926463,-0.0694211026206191,"[1.0, 2.0]",5.71,5.71,5.71,"See-saw, Octahedron",2i,2,1.0,Te,0.0,True
mp-649107,ReTe7O7F32,1.9461684789926463,-0.0694211026206191,"[1.0, 2.0]",5.71,5.71,5.71,"See-saw, Octahedron",2i,2,2.0,Te,0.0,True
mp-662523,SrTeO3,1.9237909739564585,0.10711034285911,[3.0],4.0,4.0,4.0,Triangular non-coplanar,1a,1,3.0,Te,0.0,True
mp-667421,SrTeO3,2.18574528764501,1.0781082716278156,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,1a,1,3.0,Te,0.0,True
mp-667421,SrTeO3,2.18574528764501,1.0781082716278156,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,1a,1,4.0,Te,0.0,True
mp-667426,Bi2Te2O7,2.1346496569817,1.727852186707672,[4.0],4.0,4.0,4.0,"See-saw, Triangular non-coplanar",8d,2,4.0,Te,0.0,True
mp-669353,Cs2TeO4,1.8701164092484464,0.1077697207343413,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Te,0.0,True
mp-677490,Li4Nd3SbTeO12,1.9642336082434075,0.3948618054259004,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
