material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sb_wyckoff,num_Sb_chemenvs,CN,element,charge_range,is_single_charge
mp-1195172,RbSb2P(SO6)2,2.1314431662777595,0.1400159592608778,"[3.0, 5.0]",3.0,3.0,3.0,Square pyramid,2i,1,5.0,Sb,0.0,True
mp-1195214,BaB4(SbO6)2,1.9311272863409243,0.3839648867482729,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Sb,0.0,True
mp-1195296,KSb(SO4)2,1.8243423246400443,1.146359419358411,[4.0],3.0,3.0,3.0,See-saw,4e,1,4.0,Sb,0.0,True
mp-1195448,CsSb(SO4)2,1.396640171851974,1.7813672343350972,[5.0],3.0,3.0,3.0,Square pyramid,4a,1,5.0,Sb,0.0,True
mp-1196004,Re2Sb4O13,2.029522289435312,0.4831072527644454,"[3.0, 4.0, 5.0]",3.0,3.0,3.0,"See-saw, Pentagonal plane",2i,2,3.0,Sb,0.0,True
mp-1196004,Re2Sb4O13,2.029522289435312,0.4831072527644454,"[3.0, 4.0, 5.0]",3.0,3.0,3.0,"See-saw, Pentagonal plane",2i,2,4.0,Sb,0.0,True
mp-1196004,Re2Sb4O13,2.029522289435312,0.4831072527644454,"[3.0, 4.0, 5.0]",3.0,3.0,3.0,"See-saw, Pentagonal plane",2i,2,5.0,Sb,0.0,True
mp-1196009,Mn3Sb5(IO3)3,1.9906608275608764,0.3834758647738176,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
mp-1196009,Mn3Sb5(IO3)3,1.9906608275608764,0.3834758647738176,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
mp-1196009,Mn3Sb5(IO3)3,1.9906608275608764,0.3834758647738176,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,4.0,Sb,0.0,True
mp-1196009,Mn3Sb5(IO3)3,1.9906608275608764,0.3834758647738176,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,5.0,Sb,0.0,True
mp-1196047,CsV2SbO8,1.9500107473433832,0.2493882229889026,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Sb,0.0,True
mp-1196350,InSb(P2O7)2,1.9658557245488724,0.0992181765558206,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Sb,0.0,True
mp-1196473,TbSbMo2O9,1.8745884655645535,0.8267701058072555,[4.0],3.0,3.0,3.0,See-saw,4f,1,4.0,Sb,0.0,True
mp-1196877,BaAl4(SbO6)2,1.9246005186537385,0.309114867524969,[6.0],5.0,5.0,5.0,Octahedron,4h,1,6.0,Sb,0.0,True
mp-1196948,CaSb4H6(SO8)2,2.1201477419378967,0.0734232330257753,"[3.0, 4.0]",3.0,3.0,3.0,"Square pyramid, See-saw",4f,2,3.0,Sb,0.0,True
mp-1196948,CaSb4H6(SO8)2,2.1201477419378967,0.0734232330257753,"[3.0, 4.0]",3.0,3.0,3.0,"Square pyramid, See-saw",4f,2,4.0,Sb,0.0,True
mp-1197959,CsSb2PO8,1.9162685927075476,0.3601063390522367,[6.0],5.0,5.0,5.0,Octahedron,"4j, 2i",1,6.0,Sb,0.0,True
mp-1197996,Sr5(Sb11O19)2,1.9653245443697496,0.5663765224166948,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Triangular non-coplanar",4e,2,3.0,Sb,0.0,True
mp-1197996,Sr5(Sb11O19)2,1.9653245443697496,0.5663765224166948,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Triangular non-coplanar",4e,2,4.0,Sb,0.0,True
mp-1198780,LiSbO2,1.9702939428564412,0.6692035198348429,[3.0],3.0,3.0,3.0,Triangular non-coplanar,4e,1,3.0,Sb,0.0,True
mp-1198978,HoSbMo2O9,1.8880196885647007,0.780076330496718,[4.0],3.0,3.0,3.0,See-saw,4f,1,4.0,Sb,0.0,True
mp-1199191,Sb2S4O15,1.92109077426712,0.6079369419620746,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Sb,0.0,True
mp-1199237,PrSbMo2O9,1.8381258770935016,0.9735301215577832,[4.0],3.0,3.0,3.0,See-saw,4f,1,4.0,Sb,0.0,True
mp-1199546,Sr10Sb16H6Se7O30,2.0163037643417026,0.3722525420107582,"[3.0, 0]",3.0,3.0,3.0,Triangular non-coplanar,4e,1,3.0,Sb,0.0,True
mp-1199546,Sr10Sb16H6Se7O30,2.0163037643417026,0.3722525420107582,"[3.0, 0]",3.0,3.0,3.0,Triangular non-coplanar,4e,1,0.0,Sb,0.0,True
mp-1199909,Fe3Sb5(IO3)3,2.024049863564692,0.3616003311160082,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
mp-1199909,Fe3Sb5(IO3)3,2.024049863564692,0.3616003311160082,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
mp-1199909,Fe3Sb5(IO3)3,2.024049863564692,0.3616003311160082,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,4.0,Sb,0.0,True
mp-1199909,Fe3Sb5(IO3)3,2.024049863564692,0.3616003311160082,"[3.0, 3.0, 4.0, 5.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,5.0,Sb,0.0,True
mp-1200438,ErSbMo2O9,1.8825638580377184,0.7993179043511992,[4.0],3.0,3.0,3.0,See-saw,4f,1,4.0,Sb,0.0,True
mp-1200878,KSb2PO8,1.9289766211878576,0.456392765635248,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
