material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,P_wyckoff,num_P_chemenvs,CN,element,charge_range,is_single_charge
mp-1218530,Sr2VP2O9,1.63841569976099,0.4399940964175192,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1218615,Sr3Ca2P3O12F,1.5665312211651905,0.0520264004675298,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1218624,Sr5Ca5P6(ClO12)2,1.5369541790426928,-0.0947223616414606,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 1a",1,4.0,P,0.0,True
mp-1218632,Sr4BiP3O13,1.643335626946851,0.3818621739976307,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,P,0.0,True
mp-1218733,Sr9Fe(PO4)7,1.6854789109533268,0.5752592119536228,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1218791,Sr9In(PO4)7,1.6801131156399185,0.546421922417344,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1218826,Sr7Mg8(P4O15)3,1.605253351552279,0.241142048846515,[4.0],5.0,5.0,5.0,Tetrahedron,"4j, 2i",1,4.0,P,0.0,True
mp-1218891,Sr10P6BrClO24,1.44417825481785,-0.5142473018531228,[4.0],5.0,5.0,5.0,Tetrahedron,6g,1,4.0,P,0.0,True
mp-1218894,Sr10P6O25,1.5414223190859024,0.0035249696455562,[4.0],5.0,5.0,5.0,Tetrahedron,3d,1,4.0,P,0.0,True
mp-1218899,Sr10P6ClO24F,1.469677613962978,-0.3974014830220203,[4.0],5.0,5.0,5.0,Tetrahedron,3d,1,4.0,P,0.0,True
mp-1218923,Sr20P12Br(ClO16)3,1.37554547141743,-0.8216649252475532,[4.0],5.0,5.0,5.0,Tetrahedron,6g,1,4.0,P,0.0,True
mp-1218945,Sr20P12Br3ClO48,1.4761167848291417,-0.3686099876421316,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1219029,Sr20P12Br3O48F,1.4648367336759345,-0.419503072546649,[4.0],5.0,5.0,5.0,Tetrahedron,6g,1,4.0,P,0.0,True
mp-1219153,RbTlP2(HO2)4,1.5698788891258926,0.0493739759378274,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1219334,Si2P3RhO13,1.581589640282276,0.1584405939738907,[4.0],5.0,5.0,5.0,Tetrahedron,"3f, 3e",1,4.0,P,0.0,True
mp-1219659,Rb3Ti4Tl(PO5)4,1.5440431607927865,-0.0510584113928631,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1219662,Rb3P4H9O16,1.5193142028004143,-0.1753595941151663,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1219682,RbNb3(PO5)3,1.5626437558569255,0.0812967723086155,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1219683,Rb3Ti4Tl(PO5)4,1.5343599091961917,-0.0944793462801287,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1219951,Rb2Mo2P2O11,1.5700481740231278,0.0590839715907065,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1219990,RbNd(PO3)4,1.6298082097111988,0.3235452227787798,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1220012,Rb2ErTi(PO4)3,1.6769932380263328,0.5689271041519814,[4.0],5.0,5.0,5.0,no_data,no_data,1,4.0,P,0.0,True
mp-1220034,PHPbO4,1.6566109930362891,0.4375610828717529,[4.0],5.0,5.0,5.0,"Tetrahedron, Octahedron",2a,2,4.0,P,0.0,True
mp-1220061,P3Pb5O12F,1.5810408761361645,0.0852019212318452,[4.0],5.0,5.0,5.0,"Square-face bicapped trigonal prism, Tetrahedron, Tricapped triangular prism (three square-face caps)","6c, 2b",3,4.0,P,0.0,True
mp-1220062,P3Pb5BrO12,1.4357261849318492,-0.5709920914287896,[4.0],5.0,5.0,5.0,"Tetrahedron, Square antiprism, Tricapped triangular prism (three square-face caps)","6c, 2b",3,4.0,P,0.0,True
mp-1220067,P2Pb3O8,1.5911521272546143,0.2167430203844983,[4.0],5.0,5.0,5.0,"Tetrahedron, Pentagonal pyramid, Tricapped triangular prism (three square-face caps)","3d, 1c, 1a",3,4.0,P,0.0,True
mp-1220209,P6(Pb2O5)5,1.5665574583659,0.0206931111096517,[4.0],5.0,5.0,5.0,"Tetrahedron, Pentagonal pyramid, Octahedron, Tricapped triangular prism (three square-face caps)","3d, 1b, 1a",4,4.0,P,0.0,True
mp-1220230,Rb2MnP2H3(O4F)2,1.4782527124605322,-0.3638254881306632,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1220811,NaZrNb(PO4)3,1.5639871876121696,0.0803118601398581,[4.0],5.0,5.0,5.0,Tetrahedron,6b,1,4.0,P,0.0,True
mp-1220899,Na6Fe2P4HO17,1.6796698577575253,0.5549877330978786,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1220927,NaTiSn(PO4)3,1.549990513396382,0.0345902102038787,[4.0],5.0,5.0,5.0,Tetrahedron,6b,1,4.0,P,0.0,True
mp-1220951,NaTiPO5,1.5716208763017625,0.089310610388898,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1220992,NaP2W7O25,1.560064370723892,0.0620556814042898,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1221052,Na7Fe7P6(O8F)3,1.6286186153569773,0.3277479986679571,[4.0],5.0,5.0,5.0,Tetrahedron,6c,1,4.0,P,0.0,True
mp-1221142,NaP4(W3O11)4,1.524126393509014,-0.0772365225797667,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1221148,Na3Zr2Si2PO12,1.5417624565205637,-0.0382907417358592,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,P,0.0,True
mp-1221152,Na4TiP2O9,1.651263997424376,0.4294127302538992,[4.0],5.0,5.0,5.0,Tetrahedron,4m,1,4.0,P,0.0,True
mp-1221184,Na4P6PbO18,1.6394429530416332,0.3529621741163292,[4.0],5.0,5.0,5.0,"Tetrahedron, Square-face capped trigonal prism",1a,2,4.0,P,0.0,True
mp-1221187,Na4MgFe(PO4)3,1.6911649204931962,0.6219042367753803,[4.0],5.0,5.0,5.0,Tetrahedron,6b,1,4.0,P,0.0,True
mp-1221200,Na4Li4MnFe3P4(O4F)4,1.6639612798983134,0.4700492149157045,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1221201,Na4FeNi(PO4)3,1.590117728451038,0.2449317492685202,[4.0],5.0,5.0,5.0,Tetrahedron,6b,1,4.0,P,0.0,True
mp-1221277,Na2ZnFe(PO4)2,1.6514430492243832,0.4246444491723661,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1221280,Na3Sc2(PO4)3,1.596552148165155,0.2038778401010292,[4.0],5.0,5.0,5.0,Tetrahedron,"4f, 2e",1,4.0,P,0.0,True
mp-1221287,Na3Sc2(PO4)3,1.6048267609152418,0.2376706193002284,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1221289,Na3V2PO9,1.6404248205264014,0.3467037145331926,[4.0],5.0,5.0,5.0,no_data,no_data,1,4.0,P,0.0,True
mp-1221294,Na3Cr2(PO4)3,1.6530761757706371,0.4625048416114811,[4.0],5.0,5.0,5.0,Tetrahedron,"4f, 2e",1,4.0,P,0.0,True
mp-1221302,Na2Zr4As3(PO8)3,1.5471425089073532,-0.0163005231237839,[4.0],5.0,5.0,5.0,Tetrahedron,3e,1,4.0,P,0.0,True
mp-1221330,Na3Nb7P4O29,1.5280464748571403,-0.0886186043379099,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,P,0.0,True
mp-1221345,Na2PHO4,1.7757751620205435,0.951107771947535,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1221356,MnNiP2O7,1.6026548472974214,0.2319947406868495,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1221365,Na2MnCdFe(PO4)3,1.628306533946153,0.3127656255681754,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1221475,Na2FeSn(PO4)3,1.5957385515412763,0.2155144237706757,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 2c, 1a",1,4.0,P,0.0,True
mp-1221478,Na2Cd2Fe(PO4)3,1.6132062436299102,0.2393211657746878,[4.0],5.0,5.0,5.0,Tetrahedron,"2c, 1b, 1a",1,4.0,P,0.0,True
mp-1221493,Na2Cu4P2ClO9,1.4374650045902666,-0.5287564201315444,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,P,0.0,True
mp-1221578,Mo(PO4)2,1.5796776992899049,0.2274730186491151,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1221604,Na2CaMnAl2P2H2(O5F2)2,1.5638887577677203,0.1204943835108028,[4.0],5.0,5.0,5.0,Tetrahedron,4i,1,4.0,P,0.0,True
mp-1221698,Mo2P4O15,1.5904968479869022,0.2316371996190784,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1221802,Mn2P2O7,1.5950690614428555,0.2021962101527249,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,P,0.0,True
mp-1221933,Mn3Zn9(PO4)8,1.6858073503615472,0.5749976939313889,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1222038,MgCu2(PO4)2,1.6052172988684188,0.2231333210687271,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1222089,MgCo2(PO4)2,1.6536769396816395,0.4438646100150396,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1222215,Mg3Fe3(PO4)4,1.539320846083095,-0.0699223218125155,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1222219,Mn3Fe3(PO4)4,1.5742471868099035,0.0900153715560515,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1222447,LiP5Pb2O15,1.615892992426097,0.2729650623715604,[4.0],5.0,5.0,5.0,"Tetrahedron, Square-face capped trigonal prism",2a,2,4.0,P,0.0,True
mp-1222491,LiTiSn(PO4)3,1.572808229501904,0.1282701576202151,[4.0],5.0,5.0,5.0,Tetrahedron,6b,1,4.0,P,0.0,True
mp-1222519,LiFe3SiPO8,1.706982473137543,0.6542429422945968,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,P,0.0,True
mp-1222547,Li4VFe3(PO4)4,1.7361541010580528,0.7888420761127503,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 1a",1,4.0,P,0.0,True
mp-12226,NaNd(PO3)4,1.5900563206766736,0.2536671333830004,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1222715,Li2Ti2AsPO10,1.5601650208817983,0.026716777955166,[4.0],5.0,5.0,5.0,Tetrahedron,2b,1,4.0,P,0.0,True
mp-1222810,Li2InP2HO8,1.6300017239098572,0.3399766240453656,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1222849,Li2ScP2HO8,1.6343580673556872,0.3627650288529506,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
