material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge
mp-677095,Na2CaSn2(GeO4)3,1.7867416375981464,0.5330233411782819,[4.0],4.0,4.0,4.0,Tetrahedron,"8e, 4a",1,4.0,Ge,0.0,True
mp-680143,Ge3Pb11O17,1.7845932163657436,0.1404590351066605,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-695511,Na2CaTi2(GeO4)3,1.7811000076981771,0.3251827046405507,[4.0],4.0,4.0,4.0,Tetrahedron,"8e, 4a",1,4.0,Ge,0.0,True
mp-699457,Na2ZnGe2(HO2)4,1.7854609464830584,-0.5197716785080395,[4.0],4.0,4.0,4.0,Tetrahedron,8d,1,4.0,Ge,0.0,True
mp-703350,La2(GeO3)3,1.753231231287555,0.3898609647401262,"[4.0, 5.0, 6.0]",4.0,4.0,4.0,"Octahedron, Square pyramid, Tetrahedron",2i,3,4.0,Ge,0.0,True
mp-703350,La2(GeO3)3,1.753231231287555,0.3898609647401262,"[4.0, 5.0, 6.0]",4.0,4.0,4.0,"Octahedron, Square pyramid, Tetrahedron",2i,3,5.0,Ge,0.0,True
mp-703350,La2(GeO3)3,1.753231231287555,0.3898609647401262,"[4.0, 5.0, 6.0]",4.0,4.0,4.0,"Octahedron, Square pyramid, Tetrahedron",2i,3,6.0,Ge,0.0,True
mp-731221,Na2Be(GeO3)2,1.7759098327193237,0.3408807257882136,[4.0],4.0,4.0,4.0,Tetrahedron,1a,1,4.0,Ge,0.0,True
mp-740722,Na3GeH11O9,1.785200352951001,0.0758243330815666,[4.0],4.0,4.0,4.0,Tetrahedron,8c,1,4.0,Ge,0.0,True
mp-744184,TbFeGe2O7,1.7428231681381328,0.8405854449466789,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",2i,2,4.0,Ge,0.0,True
mp-744184,TbFeGe2O7,1.7428231681381328,0.8405854449466789,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",2i,2,5.0,Ge,0.0,True
mp-752730,Ba2GeO4,1.765551983190311,0.1810172400913095,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-754175,KGePCO7,1.8925204031598823,0.0458842653984354,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ge,0.0,True
