material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sn_wyckoff,num_Sn_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-768209,NaSnPCO7,1.8203073935435583,0.643442728904757,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Sn,0.0,True,2.0,6.0,2.0339197312507653,2.12388186830469,2.080821711515357,0.03650800578212133,0.08996213705392453,85.61120256836473,35.26377868781176,1.0086915116580752,167.0594723977547,6.0,1.0,1,Octahedron
mp-768209,NaSnPCO7,1.8203073935435583,0.643442728904757,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Sn,0.0,True,3.0,6.0,2.0339197312507653,2.1238818683046903,2.080821711515357,0.03650800578212104,0.08996213705392497,85.61120256836473,35.263778687811765,1.0086915116580752,167.05947239775477,6.0,1.0,2,Octahedron
mp-768412,Li2CoSnO4,1.824038219291276,0.7060007217789213,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Sn,0.0,True,6.0,6.0,2.067884126881538,2.133650161083864,2.1107216086485034,0.03029611303009123,0.06576603420232585,71.27722885504244,31.875013570085457,25.388373184555142,131.19092152852826,6.0,1.0,1,Octahedron
mp-768412,Li2CoSnO4,1.824038219291276,0.7060007217789213,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Sn,0.0,True,7.0,6.0,2.0673675137097995,2.1339032574309216,2.1107279858003003,0.03054924235518964,0.06653574372112203,61.30440751200581,27.967074583204088,25.370167543211778,107.42292561390539,6.0,1.0,2,Octahedron
mp-768510,Ba4Sn3O10,2.007876897866673,0.2433137356325626,[6.0],4.0,4.0,4.0,Octahedron,"4b, 8d",1,6.0,Sn,0.0,True,8.0,6.0,2.0998409240614095,2.115463812372396,2.1097128832182843,0.007012171608811844,0.015622888310986571,80.49086361688032,35.803863583169246,19.027526012472027,180.0,6.0,1.0,1,Octahedron
mp-768510,Ba4Sn3O10,2.007876897866673,0.2433137356325626,[6.0],4.0,4.0,4.0,Octahedron,"4b, 8d",1,6.0,Sn,0.0,True,9.0,6.0,2.08504372244358,2.1137303218990025,2.1029127214520194,0.0086650190358256,0.028686599455422623,80.49564877591673,35.63615859412449,22.995143095057305,179.99999879258172,5.0,0.8333333333333334,2,Octahedron
mp-768510,Ba4Sn3O10,2.007876897866673,0.2433137356325626,[6.0],4.0,4.0,4.0,Octahedron,"4b, 8d",1,6.0,Sn,0.0,True,10.0,6.0,2.085043722443583,2.113730321899002,2.10291272145202,0.00866501903582441,0.02868659945541907,80.49564885641128,35.63615881888378,22.99514309505732,180.0,5.0,0.8333333333333334,3,Octahedron
mp-768510,Ba4Sn3O10,2.007876897866673,0.2433137356325626,[6.0],4.0,4.0,4.0,Octahedron,"4b, 8d",1,6.0,Sn,0.0,True,11.0,6.0,2.0998409240614064,2.1154638123723957,2.109712883218284,0.00701217160881273,0.015622888310989236,73.03593726456023,29.76858958704774,18.9309174280881,154.26615669813805,6.0,1.0,4,Octahedron
mp-768510,Ba4Sn3O10,2.007876897866673,0.2433137356325626,[6.0],4.0,4.0,4.0,Octahedron,"4b, 8d",1,6.0,Sn,0.0,True,12.0,6.0,2.0850437224435816,2.1137303218990025,2.1029127214520194,0.008665019035825035,0.028686599455420847,65.09778308907221,76.82789648161055,7.506627335349346,179.99999879258172,5.0,0.8333333333333334,5,Octahedron
mp-768510,Ba4Sn3O10,2.007876897866673,0.2433137356325626,[6.0],4.0,4.0,4.0,Octahedron,"4b, 8d",1,6.0,Sn,0.0,True,13.0,6.0,2.08504372244358,2.113730321899006,2.10291272145202,0.008665019035826404,0.028686599455426176,65.09778308907224,76.82789648161057,7.506627335349346,179.99999879258172,5.0,0.8333333333333334,6,Octahedron
mp-768603,Li4Ni3Sn5O16,1.913662566879785,0.4641880881432682,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Sn,0.0,True,7.0,6.0,2.038442428480179,2.124683535557546,2.088028685867673,0.03076716435282963,0.08624110707736676,85.50862969327959,36.85245117562204,26.741568954205263,175.25759714749165,6.0,1.0,1,Octahedron
mp-768603,Li4Ni3Sn5O16,1.913662566879785,0.4641880881432682,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Sn,0.0,True,8.0,6.0,2.061859700605198,2.208822301151029,2.1269362139145094,0.04648626977746523,0.1469626005458311,105.0589492325485,31.50373356855434,78.24358496264796,170.1991217213009,6.0,1.0,2,Octahedron
