material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Mo_wyckoff,num_Mo_chemenvs,CN,element,charge_range,is_single_charge
mp-1044530,PrMg(MoO3)2,2.2284860761360163,-0.1911905762774612,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1044530,PrMg(MoO3)2,2.2284860761360163,-0.1911905762774612,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-10447,Rb2TeMo2(PO7)2,1.9778594390456143,0.9397345182082676,[6.0],6.0,6.0,6.0,Octahedron,8d,1,6.0,Mo,0.0,True
mp-1044742,CaPr(MoO3)2,2.236852780728111,-0.2098536017922024,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1044742,CaPr(MoO3)2,2.236852780728111,-0.2098536017922024,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1044778,PrZn(MoO3)2,2.082029353645512,0.0903464150113325,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1044778,PrZn(MoO3)2,2.082029353645512,0.0903464150113325,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-10448,Tl2TeMo2(PO7)2,1.9427280095758448,0.9268409030310426,[6.0],6.0,6.0,6.0,Octahedron,8d,1,6.0,Mo,0.0,True
mp-1045062,Zn2MoWO6,2.159918356445184,0.0117958974992541,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Mo,0.0,True
mp-1045305,CaMoO3,2.1526362324167616,-0.1888638016217751,[6.0],4.0,4.0,4.0,Octahedron,"1d, 1g, 1c, 1f",1,6.0,Mo,0.0,True
mp-1045821,Mo(PO3)4,1.9168435068921217,0.3570372091314018,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Mo,0.0,True
mp-1046989,Ca2AlMoO5,1.851141451076216,0.4517504705328735,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Mo,0.0,True
mp-1047241,Ca2MoWO6,2.234668453449902,-0.0754074255244652,[6.0],2.0,2.0,2.0,Octahedron,1f,1,6.0,Mo,0.0,True
mp-1047841,CaMo3P3O13,2.006110304565834,0.2137065613114728,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2a, 2e",2,5.0,Mo,0.0,True
mp-1047841,CaMo3P3O13,2.006110304565834,0.2137065613114728,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2a, 2e",2,6.0,Mo,0.0,True
mp-1047920,Mo3P3O13,2.055161348004773,0.0843762776875599,"[6.0, 5.0, 6.0]",3.6666666666666665,3.0,4.0,"Square pyramid, Octahedron","2a, 2e",2,6.0,Mo,1.0,False
mp-1047920,Mo3P3O13,2.055161348004773,0.0843762776875599,"[6.0, 5.0, 6.0]",3.6666666666666665,3.0,4.0,"Square pyramid, Octahedron","2a, 2e",2,5.0,Mo,1.0,False
mp-1047920,Mo3P3O13,2.055161348004773,0.0843762776875599,"[6.0, 5.0, 6.0]",3.6666666666666665,3.0,4.0,"Square pyramid, Octahedron","2a, 2e",2,6.0,Mo,1.0,False
mp-1048863,CaLaCrMoO6,1.91555773589714,0.3758731652453185,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Mo,0.0,True
mp-1076659,KNaMoWO6,1.4574735469154938,1.4296164909341025,[6.0],4.0,4.0,4.0,Octahedron,"2c, 1b",1,6.0,Mo,0.0,True
mp-1076685,K4Na4MoW7O24,2.2935941988718107,-0.1837360398802311,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Mo,0.0,True
mp-1095420,ZnMoO4,2.0313363969966667,1.670537204962886,[6.0],6.0,6.0,6.0,Octahedron,2e,1,6.0,Mo,0.0,True
mp-1095445,CsFe(MoO4)2,2.117402108060271,0.795997682638544,[4.0],6.0,6.0,6.0,Tetrahedron,2d,1,4.0,Mo,0.0,True
mp-1095622,Zr(MoO4)2,1.8481011523080253,0.2165423663102949,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Mo,0.0,True
mp-1096960,CsY(MoO4)2,2.104397680447118,0.7277501268773167,[4.0],6.0,6.0,6.0,Tetrahedron,4q,1,4.0,Mo,0.0,True
mp-1099601,K4Na4Mo3W5O24,1.9529413761000047,0.1616639945993871,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1d, 1c",1,6.0,Mo,1.0,False
mp-1099601,K4Na4Mo3W5O24,1.9529413761000047,0.1616639945993871,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1d, 1c",1,6.0,Mo,1.0,False
mp-1099727,K4Na4Mo5(WO8)3,1.882935111334864,0.4335477211286894,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1d, 1c, 1b",1,6.0,Mo,1.0,False
mp-1099727,K4Na4Mo5(WO8)3,1.882935111334864,0.4335477211286894,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1d, 1c, 1b",1,6.0,Mo,1.0,False
mp-1099821,K2Na2Mo(WO4)3,1.8233527807127683,0.2071185561974813,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Mo,0.0,True
mp-1100825,Zn3Mo3O8,1.989245070284674,0.2569640322355465,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2e, 1c",1,6.0,Mo,1.0,False
mp-1100825,Zn3Mo3O8,1.989245070284674,0.2569640322355465,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"2e, 1c",1,6.0,Mo,1.0,False
mp-1100940,VCu6AgMo5O24,2.0191948897135097,0.5325861889089094,[4.0],6.0,6.0,6.0,Tetrahedron,1a,1,4.0,Mo,0.0,True
mp-1100965,UMo5O16,2.095170826068805,-0.1281441469123058,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"2k, 4l",1,6.0,Mo,1.0,False
mp-1100965,UMo5O16,2.095170826068805,-0.1281441469123058,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"2k, 4l",1,6.0,Mo,1.0,False
mp-1101506,LiMoP2O7,2.122461514812205,0.048774491057442,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Mo,0.0,True
mp-1101539,Li2Mo(PO4)2,1.9612609360305235,0.2716398994513629,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Mo,0.0,True
mp-1101555,Li2MoP4O13,1.852885626598884,0.4988878232396314,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Mo,0.0,True
mp-1101589,Mo2P2O11,1.94417119351754,0.3329445299067773,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,Mo,0.0,True
mp-1101595,Mo2(PO4)3,1.9186139870650696,0.3382760246595694,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,2c,1,6.0,Mo,1.0,False
mp-1101595,Mo2(PO4)3,1.9186139870650696,0.3382760246595694,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,2c,1,6.0,Mo,1.0,False
mp-1101600,Mo2P3O13,1.9354879389633275,0.3477833110185353,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2i,1,6.0,Mo,1.0,False
mp-1101600,Mo2P3O13,1.9354879389633275,0.3477833110185353,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,2i,1,6.0,Mo,1.0,False
mp-1104182,MoPO5,2.244704089011597,-0.7760782461374337,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Mo,0.0,True
mp-1104938,Rb3Na(MoO4)2,1.862092837008832,0.1520022343043476,[4.0],6.0,6.0,6.0,Tetrahedron,2d,1,4.0,Mo,0.0,True
mp-1104989,CsFe(MoO4)2,2.094940208598789,0.7414799177729344,[4.0],6.0,6.0,6.0,Tetrahedron,2d,1,4.0,Mo,0.0,True
mp-1105166,Er5(MoO6)2,1.7946737965434825,0.8023472963954899,[6.0],4.5,4.5,4.5,Octahedron,2g,1,6.0,Mo,0.0,True
mp-1105194,Ho5(MoO6)2,1.607909639196104,1.3570369701460343,[6.0],4.5,4.5,4.5,Octahedron,2g,1,6.0,Mo,0.0,True
mp-1105361,Dy5(MoO6)2,1.607108746557588,1.3662472015389318,[6.0],4.5,4.5,4.5,Octahedron,2g,1,6.0,Mo,0.0,True
mp-1105394,Sr2HoMoO6,2.107915666203267,-0.518050235532526,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Mo,0.0,True
mp-1105402,Sr2DyMoO6,2.106597224373015,-0.5264778666313932,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Mo,0.0,True
mp-1105454,Sr2GdMoO6,1.988584828372528,0.1739957605629559,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Mo,0.0,True
mp-1105460,Tb5(MoO6)2,1.1609620452212013,2.07587982431448,[6.0],4.0,4.0,4.0,Octahedron,2g,1,6.0,Mo,0.0,True
mp-1147623,KLaMoO5,2.093307221483694,1.148671115593222,[5.0],6.0,6.0,6.0,Square pyramid,2c,1,5.0,Mo,0.0,True
mp-1173281,Sr2FeMoO6,1.8710819686242768,0.7237178816970833,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Mo,0.0,True
mp-1173282,Sr2FeMoO6,1.80489078435648,1.0666540567364928,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Mo,0.0,True
mp-1173284,Sr2FeMoO6,1.8144919327497453,1.024789086408315,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Mo,0.0,True
mp-1173529,Nd2TeMo6H38O43,1.947852988754779,0.2885526800853709,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Mo,0.0,True
mp-1173541,NaMn2Mo2H3O10,1.9536373390362496,0.3701388024491358,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,Mo,0.0,True
mp-1173601,Sr10Mg2Fe3(MoO6)5,1.957505230151368,0.2167280639860078,[6.0],5.4,5.4,5.4,Octahedron,"1a, 2i, 1f",1,6.0,Mo,0.0,True
mp-1173625,Sr10Mg3Fe2(MoO6)5,1.951530014258121,0.1268414673369701,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1g, 2i, 1e",1,6.0,Mo,1.0,False
mp-1173625,Sr10Mg3Fe2(MoO6)5,1.951530014258121,0.1268414673369701,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"1g, 2i, 1e",1,6.0,Mo,1.0,False
mp-1173788,Na2Ni4Mo4(HO4)5,1.9666849552128656,0.4023667319926202,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Mo,0.0,True
mp-1180394,Pr2Hf3(MoO4)9,1.936680887381069,0.3479856345647996,[4.0],6.0,6.0,6.0,Tetrahedron,"6e, 12f",1,4.0,Mo,0.0,True
mp-1181784,K2MgMo2(H2O5)2,1.85969136349528,0.1459424953445787,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Mo,0.0,True
mp-1182540,BaMo3O10,1.97864977116818,0.5288165096017807,[6.0],6.0,6.0,6.0,"Square pyramid, Octahedron",2a,2,6.0,Mo,0.0,True
mp-1182595,BaTe2Mo2(HO6)2,1.9682382357223631,0.421008990022916,[6.0],6.0,6.0,6.0,Octahedron,4a,1,6.0,Mo,0.0,True
mp-1182757,Na2Mo(H2O3)2,1.740444108256893,-0.1506128837236761,[4.0],6.0,6.0,6.0,Tetrahedron,8c,1,4.0,Mo,0.0,True
mp-1184398,Cs3Mo2BrO7,1.918072644301376,0.261006985608415,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Mo,0.0,True
mp-1186878,Ta2Mo2O11,1.847525649536162,0.2176600535363428,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,Mo,0.0,True
mp-1187247,SrMoO3,2.263002491452867,-0.4866199800371976,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Mo,0.0,True
mp-1190148,KGd(MoO4)2,2.0212614561656808,0.5248705682724043,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Mo,0.0,True
mp-1190839,YMo2O7F,2.0042993497721007,0.464658704110063,[5.0],6.0,6.0,6.0,Square pyramid,4g,1,5.0,Mo,0.0,True
