material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Re_wyckoff,num_Re_chemenvs,CN,element,charge_range,is_single_charge
mp-555759,Re2(HgO2)5,1.7696919107244824,0.0454974855464616,[4.0],7.0,7.0,7.0,Tetrahedron,4e,1,4.0,Re,0.0,True
mp-556647,Ba5Re3ClO15,4.194821513761725,7.01027893592061,[5.0],7.0,7.0,7.0,Square pyramid,6c,1,5.0,Re,0.0,True
mp-556721,Ba5Re3BrO15,4.320247464425757,7.381939473159962,[5.0],7.0,7.0,7.0,Square pyramid,6c,1,5.0,Re,0.0,True
mp-558610,Sc(ReO3)2,1.9711068492325048,0.1173281752937483,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Re,0.0,True
mp-558655,Re2PbO6,1.860399616146701,0.427317011585727,[6.0],5.0,5.0,5.0,Octahedron,6g,1,6.0,Re,0.0,True
mp-558966,Ca5(ReO6)2,2.0835070807032188,1.1601615669953935,[6.0],7.0,7.0,7.0,Octahedron,"4c, 6e, 2b",1,6.0,Re,0.0,True
mp-558969,Ho3ReO7,1.9350943389901047,0.2507155069780298,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-560625,RePbClO4,1.8190037329776096,0.1187783069414609,[4.0],7.0,7.0,7.0,Tetrahedron,2a,1,4.0,Re,0.0,True
mp-572546,CsRe(Cl2O)2,1.7270829866817714,0.0048090564969142,[2.0],7.0,7.0,7.0,See-saw,4e,1,2.0,Re,0.0,True
mp-573051,ReO3F,1.901825988070281,0.2981138209490498,[4.0],7.0,7.0,7.0,Octahedron,"4g, 2e",1,4.0,Re,0.0,True
mp-581446,Ba8Re2(WO8)3,2.1548814401392,1.4847002953867765,[6.0],7.0,7.0,7.0,Octahedron,2c,1,6.0,Re,0.0,True
mp-616597,ReHgO4,1.7102118984595234,-0.0594235796977976,[4.0],7.0,7.0,7.0,Tetrahedron,4e,1,4.0,Re,0.0,True
mp-625238,Re2H4O9,1.96989907949921,0.3883111717699344,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",2a,2,4.0,Re,0.0,True
mp-625238,Re2H4O9,1.96989907949921,0.3883111717699344,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",2a,2,6.0,Re,0.0,True
mp-626788,ReH3O5,1.803691591474196,0.0901525464595209,[4.0],7.0,7.0,7.0,Tetrahedron,1a,1,4.0,Re,0.0,True
mp-626799,ReH3O5,1.845346651380778,0.1835888851563828,[4.0],7.0,7.0,7.0,Tetrahedron,1a,1,4.0,Re,0.0,True
mp-626819,ReH3O5,1.7841085477262495,0.0518626668686451,[4.0],7.0,7.0,7.0,Tetrahedron,1a,1,4.0,Re,0.0,True
mp-627380,Mn(ReO4)2,1.83156534800308,0.1417775203602586,[4.0],7.0,7.0,7.0,Tetrahedron,8d,1,4.0,Re,0.0,True
mp-647218,Re2P2O11,1.899084053885328,0.3253744095652572,[6.0],6.0,6.0,6.0,Octahedron,4c,1,6.0,Re,0.0,True
mp-649107,ReTe7O7F32,2.081309722074028,0.5741814354080773,[5.0],6.0,6.0,6.0,Octahedron,2i,1,5.0,Re,0.0,True
