material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge
mp-1218089,SrPrGaCuO5,1.7322496959311295,0.5446673122830596,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Ga,0.0,True
mp-1218128,SrNdGa3O7,1.7553144722678304,0.3545860005379766,[4.0],3.0,3.0,3.0,Tetrahedron,"2e, 2d, 2c",1,4.0,Ga,0.0,True
mp-1218135,SrNdGaCuO5,1.678034955882292,0.7406016839670145,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Ga,0.0,True
mp-1218197,SrLaGa3O7,1.7608077573220895,0.3435489049113127,[4.0],3.0,3.0,3.0,Tetrahedron,"2e, 2d, 2c",1,4.0,Ga,0.0,True
mp-1218226,SrLaGaCuO5,1.7776921136453967,0.3991155460323473,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Ga,0.0,True
mp-1218239,SrCa5Mn4(GaO8)2,2.130274238944887,-0.8386697987021984,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Ga,0.0,True
mp-1218355,SrCaMnGaO5,1.7123652037596095,0.5804459152453246,[4.0],3.0,3.0,3.0,Tetrahedron,1a,1,4.0,Ga,0.0,True
mp-1218546,Sr4CaYGa2(Cu2O7)2,2.418368278380865,-1.8489014241359976,[4.0],3.0,3.0,3.0,Tetrahedron,2c,1,4.0,Ga,0.0,True
mp-1218603,Sr3Ti(GaO2)10,1.7646562714103138,0.348279404124751,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2h, 4j",2,4.0,Ga,0.0,True
mp-1218603,Sr3Ti(GaO2)10,1.7646562714103138,0.348279404124751,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","2h, 4j",2,6.0,Ga,0.0,True
mp-1218679,SrCr9Ga3O19,1.6401786955712123,0.8657701171275278,"[4.0, 5.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal bipyramid","2a, 2b",2,4.0,Ga,0.0,True
mp-1218679,SrCr9Ga3O19,1.6401786955712123,0.8657701171275278,"[4.0, 5.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal bipyramid","2a, 2b",2,5.0,Ga,0.0,True
mp-1218697,Sr6CaY2Ga3(Cu2O7)3,2.403602608043484,-1.8001976091909448,[4.0],3.0,3.0,3.0,Tetrahedron,2b,1,4.0,Ga,0.0,True
mp-1218712,Sr6CaY2Ga3(Cu2O7)3,2.0991201477030126,-0.75624425385123,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Ga,0.0,True
