material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge
mp-545482,PdSeO3,1.94711076734232,0.7397199733648263,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True
mp-546684,PdSeO3,1.92559093281645,0.6963684605780333,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-551407,CoSeO4,1.812435568957374,0.3683011167825302,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,Se,0.0,True
mp-553909,Tl2(SeO3)3,1.8000318379968938,0.2779103474825845,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-553947,Sr2NiSe2(ClO3)2,1.895684062078138,0.6345863776281129,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True
mp-554040,CuSeO4,1.7312744875364243,0.1733131169551895,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Se,0.0,True
mp-554063,SmSeClO3,1.848200688851037,0.3929691779436937,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-554109,CuSeO4,1.7338746815756312,0.1790365481204837,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,Se,0.0,True
mp-554335,K2CuH12(SeO7)2,1.6492527102803989,-0.0736428945322952,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-554440,CuSeO3,1.7730044903412492,0.1873760254388899,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-554443,Na6Se2O9,1.859873864755216,0.4419738368203958,"[4.0, 6.0]",6.0,6.0,6.0,"Tetrahedron, Octahedron",4c,2,4.0,Se,0.0,True
mp-554443,Na6Se2O9,1.859873864755216,0.4419738368203958,"[4.0, 6.0]",6.0,6.0,6.0,"Tetrahedron, Octahedron",4c,2,6.0,Se,0.0,True
mp-554548,BaMo2Se2O11,2.049431749894816,1.0772798582632226,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4b,1,3.0,Se,0.0,True
mp-554763,NpAgSeO5,1.8590655782699952,0.41264740257957,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-554805,Sr3Se3(ClO4)2,1.9416778427597472,0.6866609197191644,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-554901,Ga2Mo(SeO5)2,1.8961994355503933,0.5146513409434899,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-554903,TbSeClO3,1.847051016589479,0.3891443768874981,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-555022,LuSeO3F,1.8418599701995233,0.3364309207542971,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-555160,CsYSeCl2O3,1.870259954721481,0.4857252924872178,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-555327,MnSeO4,1.8326023048561957,0.4307025817579532,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,Se,0.0,True
mp-555343,Ni5Se4(BrO6)2,1.7866661475333032,0.1789751646756553,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4i,1,3.0,Se,0.0,True
mp-555354,KMn(SeO4)2,1.983366061402292,0.7524133242439633,[4.0],6.0,6.0,6.0,Tetrahedron,4i,1,4.0,Se,0.0,True
mp-555559,Sm3NbSe3O4,2.9481290099923805,0.1382890036268448,0,0.0,0.0,0.0,,,1,0.0,Se,0.0,True
mp-555570,BaCu(SeO3)2,1.795572812756268,0.2961002537864933,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-555589,Fe2(Se2O5)3,1.846462609255098,0.3525612144127086,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-555650,NdSeClO3,1.8706109190499405,0.4564967367072167,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-555672,Pu(SeO3)2,1.8360291946757417,0.4142746803173827,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-555691,SrZn(SeO3)2,1.876811198045284,0.4874294864829257,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-555802,Zn3Fe2(SeO3)6,1.7947589621004263,0.1871553308767331,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-555816,KDy(SeO4)2,1.736193229295388,0.1554220891975327,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,Se,0.0,True
mp-555909,Tb5Se2Cl3O10,1.8750903710097049,0.4619669315027418,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-555918,Hg2SeO3,1.5888554434211617,-0.4448084447058794,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4b,1,3.0,Se,0.0,True
mp-555955,LaSeO3F,1.853156009631921,0.5046695483564503,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-556074,K2Cu3(SeO3)4,1.906831835762768,0.570842937855368,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-556169,YSeO3F,1.823977301147011,0.3503107483862765,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
