material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-559068,Na2Pd(SeO4)2,1.9890286225065552,0.7451801798365568,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True,,,,,,,,,,,,,,0,Tetrahedron
mp-559160,NaSmSe2O7,1.6560539637851608,-0.0670840668560655,"[3.0, 4.0]",5.0,5.0,5.0,"Tetrahedron, Triangular non-coplanar",4e,2,3.0,Se,0.0,True,,,,,,,,,,,,,,0,"Tetrahedron, Triangular non-coplanar"
mp-559160,NaSmSe2O7,1.6560539637851608,-0.0670840668560655,"[3.0, 4.0]",5.0,5.0,5.0,"Tetrahedron, Triangular non-coplanar",4e,2,4.0,Se,0.0,True,11.0,4.0,1.6375554493183724,1.6729174672881129,1.6536065072646051,0.015117399373896055,0.03536201796974048,80.28141578802689,22.353686354715663,38.989261970355464,112.17364312490173,4.0,1.0,1,"Tetrahedron, Triangular non-coplanar"
mp-559160,NaSmSe2O7,1.6560539637851608,-0.0670840668560655,"[3.0, 4.0]",5.0,5.0,5.0,"Tetrahedron, Triangular non-coplanar",4e,2,4.0,Se,0.0,True,13.0,4.0,1.6375554493183728,1.6729174672881126,1.653606507264605,0.015117399373895828,0.03536201796973981,109.39936924473521,5.532232008871812,97.24639632753399,113.30588533289993,4.0,1.0,2,"Tetrahedron, Triangular non-coplanar"
mp-559160,NaSmSe2O7,1.6560539637851608,-0.0670840668560655,"[3.0, 4.0]",5.0,5.0,5.0,"Tetrahedron, Triangular non-coplanar",4e,2,4.0,Se,0.0,True,14.0,4.0,1.6375554493183728,1.6729174672881142,1.653606507264605,0.015117399373896447,0.035362017969741366,109.39936924473521,5.532232008871801,97.24639632753401,113.30588533289993,4.0,1.0,3,"Tetrahedron, Triangular non-coplanar"
mp-559160,NaSmSe2O7,1.6560539637851608,-0.0670840668560655,"[3.0, 4.0]",5.0,5.0,5.0,"Tetrahedron, Triangular non-coplanar",4e,2,4.0,Se,0.0,True,15.0,4.0,1.6375554493183733,1.6729174672881144,1.6536065072646053,0.015117399373896499,0.035362017969741144,80.28141578802692,22.353686354715656,38.98926197035551,112.17364312490177,4.0,1.0,4,"Tetrahedron, Triangular non-coplanar"
mp-559545,SeO2,1.807987237024943,0.2536175202595581,[3.0],4.0,4.0,4.0,Triangular non-coplanar,"2b, 2a",1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,34.0,3.0,1.6844809796401627,1.916436159300558,1.7625630917203567,0.108808709959343,0.23195517966039536,100.61101442244762,4.8904736412887315,94.1297006815562,105.94201284352778,1.0,0.3333333333333333,1,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,35.0,3.0,1.6833104338203446,1.9017911149398143,1.757852893458052,0.10180137794432344,0.21848068111946972,100.89036483326156,4.690300070251822,94.76860821727895,106.1629040724336,1.0,0.3333333333333333,2,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,38.0,3.0,1.6833104338203462,1.9017911149398157,1.7578528934580528,0.10180137794432358,0.2184806811194695,100.89036483326153,4.690300070251829,94.76860821727892,106.16290407243359,1.0,0.3333333333333333,3,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,43.0,3.0,1.6844809796401603,1.9164361593005603,1.7625630917203579,0.1088087099593438,0.23195517966040002,100.61101442244762,4.890473641288705,94.12970068155622,105.94201284352772,1.0,0.3333333333333333,4,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,44.0,3.0,1.6844809796401616,1.916436159300557,1.7625630917203559,0.1088087099593428,0.23195517966039536,100.61101442244764,4.8904736412887075,94.12970068155626,105.94201284352778,1.0,0.3333333333333333,5,Triangular non-coplanar
