material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,B_wyckoff,num_B_chemenvs,CN,element,charge_range,is_single_charge
mp-1102318,LiCdBO3,1.392570655412496,0.3386123901832631,[3.0],3.0,3.0,3.0,Trigonal plane,2i,1,3.0,B,0.0,True
mp-1104448,Fe(BO2)2,1.2959391493015833,0.6598295571981571,[4.0],3.0,3.0,3.0,Tetrahedron,8f,1,4.0,B,0.0,True
mp-1105235,BH(PbO2)2,1.390289546230203,-0.0755208367448399,[3.0],3.0,3.0,3.0,Trigonal plane,2i,1,3.0,B,0.0,True
mp-1105337,Sm3B(SO)3,1.3857903196783157,0.1442433547376653,[3.0],3.0,3.0,3.0,Trigonal plane,2i,1,3.0,B,0.0,True
mp-1105367,KB2SbO6,1.379111141647017,0.4955958261075189,[3.0],3.0,3.0,3.0,Trigonal plane,2a,1,3.0,B,0.0,True
mp-11112,Tb(BO2)3,1.3701952096664751,0.3297634312224499,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2b, 4j",2,3.0,B,0.0,True
mp-11112,Tb(BO2)3,1.3701952096664751,0.3297634312224499,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2b, 4j",2,4.0,B,0.0,True
mp-11183,Pr(BO2)3,1.373620929795469,0.3373522030846478,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2e, 4f",2,3.0,B,0.0,True
mp-11183,Pr(BO2)3,1.373620929795469,0.3373522030846478,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2e, 4f",2,4.0,B,0.0,True
mp-1121875,NaFe9Si6B3H2O31,1.383999048312192,0.2444267887874951,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-11709,Sm(BO2)3,1.37197769982484,0.3319282992290568,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2e, 4f",2,3.0,B,0.0,True
mp-11709,Sm(BO2)3,1.37197769982484,0.3319282992290568,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2e, 4f",2,4.0,B,0.0,True
mp-11711,Gd(BO2)3,1.3690275907510294,0.324050693039808,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2e, 4f",2,3.0,B,0.0,True
mp-11711,Gd(BO2)3,1.3690275907510294,0.324050693039808,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2e, 4f",2,4.0,B,0.0,True
mp-1173486,SmBO3,1.390420729192185,0.1465760996427336,[3.0],3.0,3.0,3.0,Trigonal plane,4c,1,3.0,B,0.0,True
mp-1176443,MnFeBO4,1.3880617861520992,0.2845675364037509,[3.0],3.0,3.0,3.0,Trigonal plane,4c,1,3.0,B,0.0,True
mp-1176831,Li8MnFe7(BO3)8,1.393584224769944,0.4616268793851421,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1176833,Li8MnFe7(BO3)8,1.3912617239564675,0.2410768815305465,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1176836,Li8MnFe7(BO3)8,1.393780813937466,0.0651462497304345,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1176839,Li8MnFe7(BO3)8,1.393636396196117,0.0964319175601816,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1176840,Li8Mn5Fe3(BO3)8,1.3929794955058967,0.5653120719519608,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1176886,Li8Mn3Fe5(BO3)8,1.3943431547319498,0.3646755107315627,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1176890,Li7Fe8(BO3)8,1.390741898127676,0.2444866458612492,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1176891,Li8Mn3Fe5(BO3)8,1.3941673204315586,0.2598856569132007,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1177332,Li4MnFe3(BO3)4,1.3934293563564133,0.257328929082448,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1177334,Li4MnFe3(BO3)4,1.3930254896462042,0.4546747489320173,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1177369,Li4Mn3Fe(BO3)4,1.394103596680368,0.5627058053727463,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1177388,Li4MnFe3(BO3)4,1.3939841636565524,0.1759977699048747,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1177397,Li4Mn3Fe(BO3)4,1.394273697903742,0.4184984873837539,[3.0],3.0,3.0,3.0,Trigonal plane,1a,1,3.0,B,0.0,True
mp-1177638,Li3Mn4(BO3)4,1.39251297850614,0.1725904108754028,[3.0],3.0,3.0,3.0,Trigonal plane,2i,1,3.0,B,0.0,True
mp-1178731,YB6(HO4)3,1.3949560523133258,0.2600124518012553,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",6b,2,3.0,B,0.0,True
mp-1178731,YB6(HO4)3,1.3949560523133258,0.2600124518012553,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",6b,2,4.0,B,0.0,True
mp-1179542,Zn3B7BrO13,1.3722581854968867,0.3927541217090736,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4a,2,3.0,B,0.0,True
mp-1179542,Zn3B7BrO13,1.3722581854968867,0.3927541217090736,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4a,2,4.0,B,0.0,True
mp-1180710,Na12B26O45,1.3823783555687876,0.3614183593421003,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4c,2,3.0,B,0.0,True
mp-1180710,Na12B26O45,1.3823783555687876,0.3614183593421003,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4c,2,4.0,B,0.0,True
mp-1181439,Fe3B7BrO13,1.3748939650875929,0.3927403117958809,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2a, 6b",2,3.0,B,0.0,True
mp-1181439,Fe3B7BrO13,1.3748939650875929,0.3927403117958809,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2a, 6b",2,4.0,B,0.0,True
