material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,11.0,6.0,2.0880348494998615,2.3471158937928913,2.187258571955294,0.0846484544407834,0.2590810442930298,99.36392894490758,36.29980320565312,38.92965992299705,168.1538349701404,6.0,1.0,4,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,12.0,6.0,2.08803484949986,2.3471158937928918,2.1872585719552937,0.0846484544407837,0.2590810442930316,68.47363823267293,29.487649558831027,27.089408706106674,115.29030013374783,6.0,1.0,5,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,13.0,6.0,2.0880348494998593,2.3471158937928904,2.187256988949592,0.08464839077547638,0.25908104429303114,68.47365948893717,29.48765365150993,27.089548289848803,115.2903576738155,6.0,1.0,6,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,14.0,6.0,2.088034849499859,2.3471158937928913,2.1872569889495925,0.08464839077547634,0.25908104429303247,99.25193135906208,31.17489618569419,39.03380165837034,168.15388121952674,6.0,1.0,7,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,15.0,6.0,2.0880348494998597,2.347115893792891,2.187258571955294,0.08464845444078341,0.25908104429303114,99.25192867328737,31.174874166239103,39.033893736209784,168.1538349701404,6.0,1.0,8,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,16.0,6.0,2.1910940147249875,2.8953365322403455,2.4284903168589937,0.2387454761376402,0.7042425175153579,55.90217639109994,23.38274240567554,18.75506261722023,106.34491879283958,6.0,1.0,9,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,17.0,6.0,2.1910940147249898,2.895336532240342,2.4284891925528123,0.23874578116060405,0.7042425175153522,55.90218860608296,23.38273652424245,18.75512064406609,106.34491879283956,6.0,1.0,10,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,18.0,6.0,2.19109401472499,2.895336532240342,2.4284903168589937,0.2387454761376386,0.7042425175153517,104.36623372345205,31.945561179937823,74.74153046478193,174.52112086337758,6.0,1.0,11,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,19.0,6.0,2.191094014724988,2.895336532240344,2.4284891925528123,0.23874578116060485,0.7042425175153562,57.655730822614466,22.421335209542413,18.75512064406607,92.6088197074318,6.0,1.0,12,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,20.0,6.0,2.191094014724988,2.8953365322403433,2.428489192552812,0.23874578116060502,0.7042425175153553,92.37165291079853,34.298657436470094,40.151465346251506,174.52112086337738,6.0,1.0,13,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,21.0,6.0,2.191094014724987,2.8953365322403446,2.4284891925528123,0.23874578116060555,0.7042425175153575,104.36622455611901,31.945543805788326,74.74157459690518,174.52112086337746,6.0,1.0,14,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,22.0,6.0,2.1910940147249875,2.8953365322403464,2.428490316858993,0.23874547613764033,0.7042425175153588,92.37166469653995,34.298657141913566,40.151465346251506,174.52112086337746,6.0,1.0,15,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,23.0,6.0,2.191094014724987,2.895336532240344,2.4284903168589933,0.2387454761376399,0.704242517515357,57.65571637786214,22.421337365532903,18.75506261722021,92.60875180016893,6.0,1.0,16,Octahedron
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,8.0,6.0,2.106274953661906,2.2256423369685585,2.1637388400287527,0.0389582789188123,0.11936738330665264,62.08613992937658,21.775948557607723,32.30239451137333,109.30452246338257,6.0,1.0,1,Octahedron
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,9.0,6.0,2.106274953661905,2.225642336968559,2.163738840028753,0.03895827891881264,0.11936738330665397,81.11294964121981,37.239867678156465,19.484247094204886,175.31530364840611,6.0,1.0,2,Octahedron
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,10.0,6.0,2.1062749536619045,2.22564233696856,2.1637388400287523,0.038958278918813385,0.1193673833066553,62.08613992937658,21.77594855760772,32.302394511373315,109.30452246338257,6.0,1.0,3,Octahedron
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,11.0,6.0,2.1062749536619054,2.225642336968558,2.1637388400287527,0.038958278918811914,0.11936738330665264,81.11294964121983,37.239867678156465,19.484247094204886,175.31530364840611,6.0,1.0,4,Octahedron
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,12.0,6.0,2.1062749536619054,2.225642336968559,2.163738840028753,0.038958278918812476,0.11936738330665353,62.70714838215725,27.512635627409004,18.40849886186021,117.99307904533867,6.0,1.0,5,Octahedron
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,13.0,6.0,2.1062749536619045,2.2256423369685585,2.1637388400287527,0.03895827891881252,0.11936738330665397,62.707148382157236,27.512635627409,18.40849886186017,117.99307904533863,6.0,1.0,6,Octahedron
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,14.0,6.0,2.1062749536619054,2.225642336968559,2.1637388400287527,0.03895827891881251,0.11936738330665353,99.49869025197741,32.33929813649314,37.971127165339716,173.59709626273272,6.0,1.0,7,Octahedron
