material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hf_wyckoff,num_Hf_chemenvs,CN,element,charge_range,is_single_charge
mp-754668,Hf3N2O3,1.8476765656289311,0.5909880267369161,"[3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,4.0,Hf,0.0,True
mp-754761,Sr2HfO4,2.145777037857452,-0.1904414279174607,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Hf,0.0,True
mp-754853,CaHfO3,2.0698927174744455,0.0152845695011352,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Hf,0.0,True
mp-755537,Y2HfO5,1.8942618410579464,0.5051523304237547,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Hf,0.0,True
mp-756180,Ba2Hf7O16,1.7954332005948768,0.7484940803694695,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron","6f, 1a",2,6.0,Hf,0.0,True
mp-756180,Ba2Hf7O16,1.7954332005948768,0.7484940803694695,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron","6f, 1a",2,7.0,Hf,0.0,True
mp-757149,Sr2Hf7O16,1.798784135070806,0.6681393086693862,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron","6f, 1a",2,6.0,Hf,0.0,True
mp-757149,Sr2Hf7O16,1.798784135070806,0.6681393086693862,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron","6f, 1a",2,7.0,Hf,0.0,True
mp-757336,Hf2N2O,1.814559964228408,0.5517076855389571,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-757336,Hf2N2O,1.814559964228408,0.5517076855389571,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-757336,Hf2N2O,1.814559964228408,0.5517076855389571,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
