material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,As_wyckoff,num_As_chemenvs,CN,element,charge_range,is_single_charge
mp-504751,AsHPbO4,1.8012690526670228,0.3300809057529043,[4.0],5.0,5.0,5.0,Tetrahedron,2f,1,4.0,As,0.0,True
mp-504953,Na2As4O11,1.772700995964427,0.3145049790872998,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4f,2,4.0,As,0.0,True
mp-504953,Na2As4O11,1.772700995964427,0.3145049790872998,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4f,2,6.0,As,0.0,True
mp-505074,VAs2H4O9,1.7672478203240032,0.1893991733730662,[4.0],5.0,5.0,5.0,Tetrahedron,8f,1,4.0,As,0.0,True
mp-505247,NaCo3As3(HO6)2,1.832124008255304,0.4554730829757541,[4.0],5.0,5.0,5.0,Tetrahedron,"4f, 2e",1,4.0,As,0.0,True
mp-505457,CaNiAsHO5,1.6301355521291203,-0.4569601122221082,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-505465,As2Pb2O5,1.7891001819867605,0.4070660059588575,[3.0],3.0,3.0,3.0,Triangular non-coplanar,4e,1,3.0,As,0.0,True
mp-510279,ZnAsHPbO5,1.7818003513341705,0.2017070911402579,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-510532,Fe2CoAs2(H5O7)2,1.712413562088773,-0.0795721938846501,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-510608,ZnCuAsHO5,1.6203219817235102,-0.4976283444308809,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,As,0.0,True
mp-510641,LiFeAsO4,1.8740626646172631,0.6489270816427123,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,As,0.0,True
mp-510729,CaCuAsHO5,1.696593965139743,-0.1611388443520384,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-531778,Mg17(As3O16)2,1.807013104117867,0.3864677327784368,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4e,2,4.0,As,0.0,True
mp-531778,Mg17(As3O16)2,1.807013104117867,0.3864677327784368,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4e,2,6.0,As,0.0,True
mp-541087,CuAs4(H5O8)2,1.7367632638418642,0.034141061463172,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-541164,Hg9(AsO4)4,1.584439161975929,-0.6660295527994174,[4.0],5.0,5.0,5.0,Tetrahedron,"6b, 2a",1,4.0,As,0.0,True
mp-541282,KZr2(AsO4)3,1.7087317031281923,0.0015270925188242,[4.0],5.0,5.0,5.0,Tetrahedron,6e,1,4.0,As,0.0,True
mp-541860,TiAs2H4O9,1.748037023566598,0.1365025652050001,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-541910,SrMo2(AsO6)2,1.851512053257014,0.5772779466370392,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-541956,CsTiAsO5,1.6944288093378552,-0.1371968352424708,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-542292,Mn3AgAs3(HO6)2,1.7934638958885791,0.3934589564470735,[4.0],5.0,5.0,5.0,Tetrahedron,"4f, 2e",1,4.0,As,0.0,True
mp-542557,CsScAs2(HO4)2,1.8024447158671564,0.359329114503467,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-542678,AlAs(H2O3)2,1.7315946281223973,0.0542065101672475,[4.0],5.0,5.0,5.0,Tetrahedron,8c,1,4.0,As,0.0,True
