material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge
mp-1193329,Mn2CrPb2O9,1.960677360274366,0.5111669178125295,"[8.0, 9.0]",2.0,2.0,2.0,"Tricapped triangular prism (three square-face caps), Bicapped octahedron (cap faces with one atom in common)",2i,2,9.0,Pb,0.0,True
mp-1193369,TiPb2Se2ClO7F,1.703957095497325,0.6962339065486426,"[5.0, 7.0]",2.0,2.0,2.0,"Square-face capped square prism, Square-face bicapped trigonal prism",2a,2,5.0,Pb,0.0,True
mp-1193369,TiPb2Se2ClO7F,1.703957095497325,0.6962339065486426,"[5.0, 7.0]",2.0,2.0,2.0,"Square-face capped square prism, Square-face bicapped trigonal prism",2a,2,7.0,Pb,0.0,True
mp-1193553,BiBPbO4,2.065284706680369,0.584646414712607,[6.0],2.0,2.0,2.0,Octahedron,4f,1,6.0,Pb,0.0,True
mp-1193560,NbPb2Se2ClO8,2.3893410359166403,0.2467629448026715,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face bicapped trigonal prism, Square antiprism",2a,2,6.0,Pb,0.0,True
mp-1193560,NbPb2Se2ClO8,2.3893410359166403,0.2467629448026715,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face bicapped trigonal prism, Square antiprism",2a,2,7.0,Pb,0.0,True
mp-1193732,Te2PdPb2(ClO3)2,2.762922193258899,-0.0785147827959246,[5.0],2.0,2.0,2.0,Octahedron,4e,1,5.0,Pb,0.0,True
mp-1193833,Cu2PbSe2(ClO3)2,2.0916667964023574,0.2589325527044305,[4.0],2.0,2.0,2.0,Dodecahedron with triangular faces - p2345 plane normalized,2e,1,4.0,Pb,0.0,True
mp-1194046,CuH6Pb4(SO7)2,2.4111205879379325,0.2304812055436479,[7.0],2.0,2.0,2.0,"Pentagonal bipyramid, Bicapped octahedron (cap faces with one atom in common)",2i,2,7.0,Pb,0.0,True
mp-1194403,PdPb2Se2(ClO3)2,2.8707711314304296,-0.1859131998084506,[5.0],2.0,2.0,2.0,Square-face capped trigonal prism,4e,1,5.0,Pb,0.0,True
mp-1194412,Pb3Se2(BrO3)2,2.8605571743725084,-0.114542336209908,"[5.0, 6.0]",2.0,2.0,2.0,Square antiprism,"4f, 2e",1,5.0,Pb,0.0,True
mp-1194412,Pb3Se2(BrO3)2,2.8605571743725084,-0.114542336209908,"[5.0, 6.0]",2.0,2.0,2.0,Square antiprism,"4f, 2e",1,6.0,Pb,0.0,True
mp-1194510,Al2Si2PbO8,2.557638350031117,0.1970922542638283,[8.0],2.0,2.0,2.0,Tricapped octahedron (cap faces are aligned),4f,1,8.0,Pb,0.0,True
mp-1194514,Ba4Zn4B14Pb2O31,2.039106008284313,0.5959712066491806,"[4.0, 5.0]",2.0,2.0,2.0,"See-saw, Square pyramid",1a,2,4.0,Pb,0.0,True
mp-1194514,Ba4Zn4B14Pb2O31,2.039106008284313,0.5959712066491806,"[4.0, 5.0]",2.0,2.0,2.0,"See-saw, Square pyramid",1a,2,5.0,Pb,0.0,True
mp-1194594,Ta4PbO11,2.462194677908702,0.1157192976601787,[7.0],2.0,2.0,2.0,Face-capped octahedron,2c,1,7.0,Pb,0.0,True
mp-1194742,Ba3B3Pb2BrO9,1.8484457658388576,0.7281518141929221,[3.0],2.0,2.0,2.0,no_data,no_data,1,3.0,Pb,0.0,True
