material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,C_wyckoff,num_C_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1176541,LiVCO4,1.4494409531844477,0.5131320741833296,[3.0],4.0,4.0,4.0,Trigonal plane,4e,1,3.0,C,0.0,True,10.0,3.0,1.2514267866252466,1.3466047787082973,1.303186693325926,0.03930141669558701,0.09517799208305067,119.99844430506782,2.460769120161923,117.00114783767836,123.02850933671297,3.0,1.0,3,Trigonal plane
mp-1176541,LiVCO4,1.4494409531844477,0.5131320741833296,[3.0],4.0,4.0,4.0,Trigonal plane,4e,1,3.0,C,0.0,True,11.0,3.0,1.25143315877737,1.3466289781017446,1.3031960313576956,0.03930735090317629,0.09519581932437471,119.99844518992158,2.4580171905031647,117.00466017566987,123.02527600611255,3.0,1.0,4,Trigonal plane
mp-1176544,Na3Ni2P2(CO7)2,1.3596502443808731,0.2602994858037526,[3.0],4.0,4.0,4.0,Trigonal plane,2a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176546,Na2LiMnPCO7,1.31881467292582,0.0667554863053708,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,20.0,3.0,1.3004787950891314,1.3020257684505716,1.3014269069850088,0.0006781167758616949,0.0015469733614401626,80.39993861912366,31.93886946061806,42.16640209946678,120.3442028286252,3.0,1.0,1,Trigonal plane
mp-1176585,Na5LiFe2P2(CO7)2,1.374368306977062,0.2528672061244233,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176603,Na2FePCO7,1.458955469976596,0.5555313784394305,[3.0],4.0,4.0,4.0,Trigonal plane,"1a, 2b",1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176648,Na5Fe2P2(CO7)2,1.4718289325014695,0.5997441723439048,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176660,LiMnPCO7,1.4090828632358778,0.4072954350097698,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176673,Na5Ni2P2(CO7)2,1.4287415449386072,0.4671659524658763,[3.0],4.0,4.0,4.0,Trigonal plane,2e,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176765,Na5Mn2P2(CO7)2,1.4018658930274424,0.3608877642857538,[3.0],4.0,4.0,4.0,Trigonal plane,2e,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176894,Li7Mn3P3(CO7)3,1.3996868494844166,0.3521412511212037,[3.0],4.0,4.0,4.0,Trigonal plane,"4f, 2e",1,3.0,C,0.0,True,28.0,3.0,1.2916724933653534,1.3070919632540845,1.3001354428488596,0.006384460788419022,0.015419469888731108,79.65423262848326,30.647884167690787,44.93223733224516,119.48134894272489,3.0,1.0,1,Trigonal plane
