material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zn_wyckoff,num_Zn_chemenvs,CN,element,charge_range,is_single_charge
mp-1046628,Mn5Zn4(TeO6)3,1.6118929359094458,0.5875365916579216,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Square pyramid",4f,2,5.0,Zn,0.0,True
mp-1046651,MnZnPO5,1.6873128454517403,0.449184371514299,[5.0],2.0,2.0,2.0,Square pyramid,2a,1,5.0,Zn,0.0,True
mp-1046701,VZnPO5,1.6028374553584936,0.6019988099218554,[5.0],2.0,2.0,2.0,Square pyramid,2e,1,5.0,Zn,0.0,True
mp-1046751,Nb2Zn2FeO8,1.1005296137920673,1.155163993540021,[6.0],2.0,2.0,2.0,Octahedron,4f,1,6.0,Zn,0.0,True
mp-1046861,Nb2Zn2CoO8,1.1178489656329365,1.1237838920078853,[6.0],2.0,2.0,2.0,Octahedron,4f,1,6.0,Zn,0.0,True
mp-1046866,Nb2VZn2O8,1.052139687263118,1.2056853597102528,[6.0],2.0,2.0,2.0,Octahedron,4f,1,6.0,Zn,0.0,True
mp-1046973,Nb2Zn2NiO8,1.0715471615247976,1.1439947126142147,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Zn,0.0,True
mp-1047130,Zn2NiIrO6,1.962712553004753,0.097832404522973,[4.0],2.0,2.0,2.0,"Pentagonal bipyramid, Square-face capped trigonal prism",4a,2,4.0,Zn,0.0,True
mp-1047601,Zn(CuO2)2,2.1072047619660985,0.1807528284536914,[8.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,4d,1,8.0,Zn,0.0,True
mp-1047787,Zn3Co3(AsO4)4,1.859029760719792,0.2645002132371165,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid","4e, 2a",2,5.0,Zn,0.0,True
mp-1047787,Zn3Co3(AsO4)4,1.859029760719792,0.2645002132371165,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid","4e, 2a",2,6.0,Zn,0.0,True
mp-1047992,ZnSnP2O7,1.8272366096913664,0.2722896040454936,[5.0],2.0,2.0,2.0,Square pyramid,4e,1,5.0,Zn,0.0,True
mp-1048243,VZnP2O7,1.8250795002901024,0.2735997592562024,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Zn,0.0,True
mp-1048260,MnZnP2O7,1.8306613568860928,0.2656040429760233,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Zn,0.0,True
mp-1048270,ZnFeP2O7,1.8264275453834016,0.2711870099693652,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Zn,0.0,True
mp-1048278,ZnNiP2O7,1.8092984589979952,0.275250099367745,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Zn,0.0,True
mp-1048332,ZnCrP2O7,1.779016651525702,0.3183889339280504,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Zn,0.0,True
mp-1048867,V2ZnO4,1.8342563014709927,0.2726188840841613,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","1c, 1b, 1a",2,4.0,Zn,0.0,True
mp-1048867,V2ZnO4,1.8342563014709927,0.2726188840841613,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","1c, 1b, 1a",2,6.0,Zn,0.0,True
